name,country,role,direction,regional_setting,baseline_dP_sy010,sy_material_threshold,sy_dependency_class,material_at_sy_0p05,material_at_sy_0p10,material_at_sy_0p25,mc_pr_abs_delta_p_ge_0p01,gsfc_statistical_sign_support_p05,gsfc_recent_material,interpretation
Yokohama,JP,screening unit,increase,recharge-side validation,0.0131823600667306,0.1318685127152594,material at baseline S_y=0.10 but not at higher S_y,True,True,False,0.417,True,False,material only for local S_y values at or below threshold
Bhayandar,IN,screening unit,increase,western India candidate,0.0117697302764608,0.1176778486207835,material at baseline S_y=0.10 but not at higher S_y,True,True,False,0.345,False,False,material only for local S_y values at or below threshold
Mumbai,IN,screening unit,increase,western India candidate,0.0108165938122896,0.108111175298082,material at baseline S_y=0.10 but not at higher S_y,True,True,False,0.29675,False,False,material only for local S_y values at or below threshold
Delhi,IN,screening unit,decrease,Punjab depletion,-0.0113766608006131,0.1141271152208327,material at baseline S_y=0.10 but not at higher S_y,True,True,False,0.3335,True,True,material only for local S_y values at or below threshold
Lahore,PK,screening unit,decrease,Punjab depletion,-0.0140276495434888,0.1426076055697791,material at baseline S_y=0.10 but not at higher S_y,True,True,False,0.466,True,False,material only for local S_y values at or below threshold
Ludhiana,IN,screening unit,decrease,Punjab depletion,-0.0153533212038833,0.1599491208561837,material under low-to-moderate S_y values,True,True,False,0.549,True,False,material only for local S_y values at or below threshold
Beijing,CN,mechanism anchor,increase,recharge-side validation,0.0002529408037319,,never material in tested S_y range,False,False,False,,,,mechanism-validation anchor; sub-material in global screen
Tokyo,JP,regional context,increase,recharge-side validation,0.0083026372584477,0.0832950608494791,material only under very low S_y,True,False,False,,,,regional-context screen; material only at low S_y
Tianjin,CN,regional context,increase,recharge-side validation,0.0073736357294239,0.0738937847019908,material only under very low S_y,True,False,False,,,,regional-context screen; material only at low S_y
