metro_cluster_50km,n_point_cities,matched_GeoNames,countries,population_sum,population_weighted_dP,max_abs_dP,n_material_point_hotspots,cluster_hotspot_flag,material_point_names
351,1,Ludhiana,IN,1618879,-0.0153533212038833,0.0153533212038833,1,True,Ludhiana
350,1,Lahore,PK,13004135,-0.0140276495434888,0.0140276495434888,1,True,Lahore
1,6,Tokyo; Yokohama; Kawasaki; Saitama; Chiba; Setagaya,JP,18293722,0.007179528184140917,0.0131823600667306,1,True,Yokohama
2,8,Mumbai; Navi Mumbai; Thāne; Kalyān; Dombivali; Virār; Bhiwandi; Bhayandar,IN,22548706,0.00843505869877847,0.0117697302764608,2,True,Bhayandar; Mumbai
283,8,Delhi; Faridabad; Najafgarh; Meerut; Ghāziābād; Gurugram; Rohini; Narela,IN,18782499,-0.007841114832582255,0.0113766608006131,1,True,Delhi
3,1,Dar es Salaam,TZ,5383728,0.0099400650158641,0.0099400650158641,0,False,
4,1,Surat,IN,4591246,0.0096221809737705,0.0096221809737705,0,False,
5,1,Nashik,IN,1486053,0.009150408807873,0.009150408807873,0,False,
349,1,Srinagar,IN,1206419,-0.0086285932427188,0.0086285932427188,0,False,
6,1,Yangon,MM,4477638,0.0078525840287735,0.0078525840287735,0,False,
7,1,Tianjin,CN,11090314,0.0073736357294239,0.0073736357294239,0,False,
348,1,Seattle,US,780995,-0.0067245943704312,0.0067245943704312,0,False,
347,1,Puebla,MX,1692181,-0.006715498408346,0.006715498408346,0,False,
8,1,Varanasi,IN,1164404,0.0064547441040125,0.0064547441040125,0,False,
9,1,Chattogram,BD,3920222,0.0063066447842901,0.0063066447842901,0,False,
10,1,Patna,IN,1684297,0.006098119810889201,0.0060981198108892,0,False,
11,1,Kanpur,IN,2823249,0.005955810106998499,0.0059558101069985,0,False,
346,1,Turin,IT,847287,-0.0058121023331525,0.0058121023331525,0,False,
12,1,Barcelona,VE,815141,0.0055937627238466,0.0055937627238466,0,False,
345,1,Diyarbakır,TR,1833684,-0.0055730278091667,0.0055730278091667,0,False,
13,1,Prayagraj,IN,1073438,0.005399910094125,0.005399910094125,0,False,
14,1,Makassar,ID,1423877,0.005239330970689,0.005239330970689,0,False,
344,1,Rangpur,BD,1031388,-0.0051411198019189,0.0051411198019189,0,False,
15,2,Kolkata; Howrah,IN,5659064,0.005093130186782715,0.0050947550306674,0,False,
16,1,Luzhou,CN,998900,0.0050042128246746,0.0050042128246746,0,False,
17,1,Ranchi,IN,1120374,0.004955914891752,0.004955914891752,0,False,
18,1,Ciudad Guayana,VE,978202,0.004915952855939,0.004915952855939,0,False,
19,1,Haikou,CN,2873358,0.0048257107875001,0.0048257107875001,0,False,
20,8,Shanghai; Pudong; Baoshan; Putuo; Yangpu; Xuhui; Jing’an; Zhabei,CN,38158112,0.001735054359879452,0.0047006544213692,0,False,
21,1,Vijayawada,IN,1143232,0.0045902708923863,0.0045902708923863,0,False,
22,1,Kaifeng,CN,1451741,0.0043969392064603,0.0043969392064603,0,False,
23,1,Qinhuangdao,CN,759718,0.0042830898810408,0.0042830898810408,0,False,
343,1,Bayan Nur,CN,1760000,-0.0042411337674424,0.0042411337674424,0,False,
24,1,Nagoya,JP,2332176,0.0041915709353172,0.0041915709353172,0,False,
25,1,Luohe,CN,1294974,0.0040014589304054,0.0040014589304054,0,False,
26,1,Hanzhong,CN,1006557,0.003910982978689,0.003910982978689,0,False,
