station,location,aquifer_type,year,groundwater_level_tp_m,source_url
吾嬬Ｂ,墨田区立花5丁目,被圧地下水,2015,-6.09,https://www.env.go.jp/content/000386723.xlsx
新宿,新宿区百人町３丁目,被圧地下水,2015,10.13,https://www.env.go.jp/content/000386723.xlsx
東久留米第3,東久留米市神宝町1丁目,被圧地下水,2015,17.02,https://www.env.go.jp/content/000386723.xlsx
調布第３,調布市調布ヶ丘３丁目,被圧地下水,2015,11.59,https://www.env.go.jp/content/000386723.xlsx
吾嬬Ｂ,墨田区立花5丁目,被圧地下水,2016,-5.85,https://www.env.go.jp/content/000386723.xlsx
新宿,新宿区百人町３丁目,被圧地下水,2016,10.35,https://www.env.go.jp/content/000386723.xlsx
東久留米第3,東久留米市神宝町1丁目,被圧地下水,2016,17.85,https://www.env.go.jp/content/000386723.xlsx
調布第３,調布市調布ヶ丘３丁目,被圧地下水,2016,13.48,https://www.env.go.jp/content/000386723.xlsx
吾嬬Ｂ,墨田区立花5丁目,被圧地下水,2017,-5.96,https://www.env.go.jp/content/000386723.xlsx
新宿,新宿区百人町３丁目,被圧地下水,2017,10.18,https://www.env.go.jp/content/000386723.xlsx
東久留米第3,東久留米市神宝町1丁目,被圧地下水,2017,18.41,https://www.env.go.jp/content/000386723.xlsx
調布第３,調布市調布ヶ丘３丁目,被圧地下水,2017,14.76,https://www.env.go.jp/content/000386723.xlsx
吾嬬Ｂ,墨田区立花5丁目,被圧地下水,2018,-5.81,https://www.env.go.jp/content/000386723.xlsx
新宿,新宿区百人町３丁目,被圧地下水,2018,10.05,https://www.env.go.jp/content/000386723.xlsx
東久留米第3,東久留米市神宝町1丁目,被圧地下水,2018,19.45,https://www.env.go.jp/content/000386723.xlsx
調布第３,調布市調布ヶ丘３丁目,被圧地下水,2018,18.64,https://www.env.go.jp/content/000386723.xlsx
吾嬬Ｂ,墨田区立花5丁目,被圧地下水,2019,-5.68,https://www.env.go.jp/content/000386723.xlsx
新宿,新宿区百人町３丁目,被圧地下水,2019,10.6,https://www.env.go.jp/content/000386723.xlsx
東久留米第3,東久留米市神宝町1丁目,被圧地下水,2019,20.06,https://www.env.go.jp/content/000386723.xlsx
調布第３,調布市調布ヶ丘３丁目,被圧地下水,2019,19.08,https://www.env.go.jp/content/000386723.xlsx
吾嬬Ｂ,墨田区立花5丁目,被圧地下水,2020,-5.0,https://www.env.go.jp/content/000386723.xlsx
新宿,新宿区百人町３丁目,被圧地下水,2020,11.49,https://www.env.go.jp/content/000386723.xlsx
東久留米第3,東久留米市神宝町1丁目,被圧地下水,2020,22.24,https://www.env.go.jp/content/000386723.xlsx
調布第３,調布市調布ヶ丘３丁目,被圧地下水,2020,21.7,https://www.env.go.jp/content/000386723.xlsx
吾嬬Ｂ,墨田区立花5丁目,被圧地下水,2021,-4.69,https://www.env.go.jp/content/000386723.xlsx
新宿,新宿区百人町３丁目,被圧地下水,2021,12.07,https://www.env.go.jp/content/000386723.xlsx
東久留米第3,東久留米市神宝町1丁目,被圧地下水,2021,22.73,https://www.env.go.jp/content/000386723.xlsx
調布第３,調布市調布ヶ丘３丁目,被圧地下水,2021,22.38,https://www.env.go.jp/content/000386723.xlsx
吾嬬Ｂ,墨田区立花5丁目,被圧地下水,2022,-4.58,https://www.env.go.jp/content/000386723.xlsx
新宿,新宿区百人町３丁目,被圧地下水,2022,12.16,https://www.env.go.jp/content/000386723.xlsx
東久留米第3,東久留米市神宝町1丁目,被圧地下水,2022,23.53,https://www.env.go.jp/content/000386723.xlsx
調布第３,調布市調布ヶ丘３丁目,被圧地下水,2022,23.02,https://www.env.go.jp/content/000386723.xlsx
吾嬬Ｂ,墨田区立花5丁目,被圧地下水,2023,-4.54,https://www.env.go.jp/content/000386723.xlsx
新宿,新宿区百人町３丁目,被圧地下水,2023,11.92,https://www.env.go.jp/content/000386723.xlsx
東久留米第3,東久留米市神宝町1丁目,被圧地下水,2023,24.28,https://www.env.go.jp/content/000386723.xlsx
調布第３,調布市調布ヶ丘３丁目,被圧地下水,2023,22.09,https://www.env.go.jp/content/000386723.xlsx
吾嬬Ｂ,墨田区立花5丁目,被圧地下水,2024,-4.41,https://www.env.go.jp/content/000386723.xlsx
新宿,新宿区百人町３丁目,被圧地下水,2024,12.13,https://www.env.go.jp/content/000386723.xlsx
東久留米第3,東久留米市神宝町1丁目,被圧地下水,2024,25.03,https://www.env.go.jp/content/000386723.xlsx
調布第３,調布市調布ヶ丘３丁目,被圧地下水,2024,22.6,https://www.env.go.jp/content/000386723.xlsx
