station,station_code,categories,n_months,start_month,end_month,slope_m_per_year,slope_cm_per_year,p_value,r_value,first_month,first_value_m,last_month,last_value_m,direction,significant_p05
岡野公園（32m）,YH01,standard,106,2015/04,2025/03,-0.13075327762648606,-13.075327762648605,0.00039963378972889896,-0.33771086390646743,2015/04,-3.06,2025/03,-3.74,fall,True
戸塚区秋葉町（150ｍ）,YH02,standard,107,2015/04,2025/03,-0.0777646594699493,-7.77646594699493,3.935911491035488e-41,-0.9065734069556393,2015/04,17.0,2025/03,16.53,fall,True
西寺尾公園（17ｍ）,YH03,standard,100,2015/04,2025/03,-0.0010022902681429465,-0.10022902681429466,0.8429588706707845,-0.020061243979916963,2015/04,3.7,2025/03,3.56,fall,False
目黒町公園（15m）,YH04,simple,89,2016/04,2025/03,0.002758487572279562,0.2758487572279562,0.8415594307152291,0.02149062925516128,2016/04,56.27,2025/03,56.13,rise,False
上倉田団地（15ｍ）,YH05,standard,104,2015/04,2025/03,0.006676934908664301,0.66769349086643,0.4595441864001085,0.07331190657464225,2015/04,9.19,2025/03,9.61,rise,False
市場中学校浅井戸（8m）,YH06,simple,87,2016/04,2025/03,0.008944490766343079,0.8944490766343078,0.4632757859548049,0.07966266171027929,2016/04,-0.55,2025/03,-0.54,rise,False
横浜公園（57m）,YH07,standard,106,2015/04,2025/03,0.009430178439164971,0.9430178439164971,0.2512606519267697,0.11241418280902526,2015/04,-1.05,2025/03,-1.14,rise,False
南希望が丘中学校（44m）,YH08,simple,88,2016/04,2025/03,0.010805545424106198,1.0805545424106198,0.32285835383635214,0.1066088436989191,2016/04,49.54,2025/03,49.58,rise,False
矢向小学校（9m）,YH09,simple,87,2016/04,2025/03,0.012013280654307406,1.2013280654307406,0.04664761070139273,0.21391342456223528,2016/04,1.54,2025/03,1.89,rise,True
矢部団地（10ｍ）,YH10,standard,106,2015/04,2025/03,0.016118179836280503,1.6118179836280504,0.0011130695872573983,0.3124044585020628,2015/04,10.65,2025/03,10.79,rise,True
みなとみらい２１地区（50m）,YH11,simple,91,2016/04,2025/03,0.04019548051820018,4.019548051820018,0.008170978266187182,0.27567938255549246,2016/04,-0.64,2025/03,-0.97,rise,True
矢上川公園（15m）,YH12,simple,86,2016/04,2025/03,0.04177613665995126,4.177613665995126,0.041289253655114155,0.22055476884451353,2016/04,1.89,2025/03,1.58,rise,True
市場小学校（66m）,YH13,standard,103,2015/04,2025/03,0.04868733166155338,4.868733166155338,0.013125154344528628,0.24367468761000324,2015/04,-0.27,2025/03,-0.02,rise,True
左近山団地（51m）,YH14,simple,88,2016/06,2025/03,0.052817697009653816,5.2817697009653815,5.634035259323407e-10,0.6017265871453453,2016/06,49.37,2025/03,49.85,rise,True
新羽公園-2(40m),YH15,standard,104,2015/04,2025/03,0.057804713618776545,5.780471361877654,3.2022235268228895e-15,0.6765753084082731,2015/04,2.19,2025/03,2.58,rise,True
市場中学校中井戸（32m）,YH16,simple,87,2016/04,2025/03,0.06343665017473538,6.343665017473538,0.00027492222872149317,0.38072834292163665,2016/04,0.88,2025/03,1.0,rise,True
新羽公園-1(80m),YH17,standard,104,2015/04,2025/03,0.06466841911157829,6.46684191115783,5.240910378562876e-13,0.6336313930256007,2015/04,1.68,2025/03,2.13,rise,True
市場中学校深井戸（59m）,YH18,simple,87,2016/04,2025/03,0.0730913921917923,7.3091392191792295,0.0013302871340577966,0.3387465069045223,2016/04,1.15,2025/03,1.23,rise,True
佐江戸公園-1(16m),YH19,standard,103,2015/04,2025/03,0.0773611068523317,7.736110685233171,1.562225628040583e-18,0.7320622832636087,2015/04,5.89,2025/03,6.44,rise,True
新横浜駅前公園-3(117m),YH20,standard,101,2015/04,2025/03,0.1705858351612386,17.05858351612386,2.6233668829188415e-30,0.8573225333183631,2015/04,1.64,2025/03,2.7,rise,True
新横浜駅前公園-1(25m),YH21,standard,101,2015/04,2025/03,0.21307966727937713,21.307966727937714,4.8151951774655444e-36,0.8926939389551959,2015/04,0.53,2025/03,1.76,rise,True
佐江戸公園-2(88m),YH22,standard,103,2015/04,2025/03,0.2155851098223083,21.558510982230832,7.186979293939847e-26,0.8168065541643017,2015/04,3.59,2025/03,5.06,rise,True
新横浜駅前公園-2(60m),YH23,standard,103,2015/04,2025/03,0.2199007181733117,21.99007181733117,3.759472515822685e-34,0.8783650538138699,2015/04,0.41,2025/03,1.69,rise,True
