name,country,min_dP,median_dP,max_dP,dP,dP_lo,dP_hi,population,tws_cm_yr,direction,sign_consistent_across_grid,material_fraction_across_grid
Bhayandar,IN,0.0023114371663947,0.0090553791408113,0.0243841984771857,0.0117697302764608,0.0038161602561318,0.0205713226468663,809378,1.4173,increase,True,0.4333333333333333
Delhi,IN,-0.035399317564092,-0.0086484015854977,-0.002072859212827,-0.0113766608006131,-0.0215404015330639,-0.0021241040234326,11034555,-2.3689,decrease,True,0.4333333333333333
Lahore,PK,-0.0419416877020137,-0.0106845851598086,-0.0025642350069302,-0.0140276495434888,-0.0226527665302359,-0.0058761489671956,13004135,-4.3053,decrease,True,0.5266666666666666
Ludhiana,IN,-0.0419808434346324,-0.0118787395932513,-0.0028892523268538,-0.0153533212038833,-0.0237705878345954,-0.0066860327121801,1618879,-7.7419,decrease,True,0.6
Mumbai,IN,0.0020318307882221,0.0082032042546413,0.0148562037224241,0.0108165938122896,0.0035724974761384,0.0143549539997001,12691836,1.4173,increase,True,0.4333333333333333
Yokohama,JP,0.0026127732827717,0.0101720042977479,0.021961660249166,0.0131823600667306,0.0052217653273863,0.0218943302879452,3777491,1.5877,increase,True,0.5
