name,country,lat,lon,population,elev_m,pga_475_g,seismic,vs30,precip,wtd,dw_km,pgv,full_dTWS_cm,recent_dTWS_cm,full_trend_cm_yr,recent_trend_cm_yr,full_p,recent_p,reversal,dist_lake_km,gw_clean,P0_full,dP_full,wtdnew_full,dLSE_full,P0_recent,dP_recent,wtdnew_recent,dLSE_recent
Yokohama,JP,35.43333,139.65,3777491,21,0.6621291,True,246.6999969482422,1671.0,2.6398107881285,1.834036104265288,66.21291000000001,12.55,15.72,0.5728,1.5877,0.0,0.0,False,3107.158070655385,True,0.5189420934283357,0.01042311198168211,1.3848107881285001,1.3334972273524137,0.5189420934283357,0.013052194913305337,1.0678107881285,1.6650578930678854
Bhayandar,IN,19.30157,72.85107,809378,9,0.1212539,True,243.01022338867188,2495.0,2.9297322041657594,2.301836643909409,12.12539,7.19,14.03,0.3283,1.4173,0.00087,0.0001,False,2571.5141207990905,True,0.469437365737197,0.005967392316910736,2.2107322041657596,0.793120617105739,0.469437365737197,0.011650852020113123,1.5267322041657596,1.5508003710621878
Mumbai,IN,19.07283,72.88261,12691836,8,0.120297400125448,True,232.39059448242188,2274.0,1.8768596932936816,4.7052142468930125,12.0297400125448,7.19,14.03,0.3283,1.4173,0.00087,0.0001,False,2596.280398320384,True,0.35036063504717974,0.005468884013017594,1.1578596932936818,0.4329638942475986,0.35036063504717974,0.010706730597230374,0.4738596932936818,0.8654591198516766
Dar es Salaam,TZ,-6.82349,39.26951,5383728,24,0.109765000000553,True,261.65869140625,1066.0,8.361943999389666,1.4221015900347755,10.9765000000553,11.34,15.35,0.5172,1.5505,0.0,0.0,False,630.6388190838273,True,0.2553153425850038,0.007245794024929697,7.227943999389666,0.21257403933936403,0.2553153425850038,0.009839482163022162,6.826943999389666,0.29354383648077476
Surat,IN,21.19594,72.83023,4591246,20,0.09830952,True,225.83724975585935,1070.0,8.25513084611282,2.0088310183989053,9.830952,8.61,14.02,0.3929,1.4158,0.00032,0.00058,False,2363.2571210323963,True,0.2809631242668905,0.005828461547950858,7.39413084611282,0.23204124132801462,0.2809631242668905,0.00952745799458804,6.85313084611282,0.3876471148117986
Nashik,IN,19.99727,73.79096,1486053,584,0.07369488,True,408.8996276855469,1330.0,4.516670481422182,2.7022359147238024,7.369488,15.44,26.07,0.7046,2.633,0.0,0.0,False,2482.8273368328482,True,0.11386043759947732,0.005291488917054596,2.972670481422182,0.018393796105524163,0.11386043759947732,0.009057037497464823,1.9096704814221819,0.03249856735930298
Bhiwandi,IN,19.30023,73.05881,874032,9,0.125094701840259,True,325.197265625,2807.0,3.2349126420996868,5.510253283387274,12.5094701840259,7.19,14.03,0.3283,1.4173,0.00087,0.0001,False,2568.8044361707443,True,0.23663864969112508,0.004352264109153181,2.515912642099687,0.09794242859296132,0.23663864969112508,0.00854308210611443,1.831912642099687,0.19783654199960532
Thāne,IN,19.19704,72.96355,1841488,23,0.1226549788237301,True,373.1346740722656,2495.0,2.0904859998474308,3.79749948385862,12.26549788237301,7.19,14.03,0.3283,1.4173,0.00087,0.0001,False,2581.4726286870387,True,0.22787742868701172,0.004240124792949107,1.371485999847431,0.0845571438242505,0.22787742868701172,0.008324655662538732,0.687485999847431,0.1708218389422338
Dombivali,IN,19.21667,73.08333,1247327,11,0.1242170029365362,True,411.0974426269531,2807.0,3.8452735179675415,3.538018292708381,12.42170029365362,7.19,14.03,0.3283,1.4173,0.00087,0.0001,False,2577.6933702662986,True,0.2247228330713731,0.004198830002857118,3.1262735179675416,0.08011476411958962,0.2247228330713731,0.008244185199944187,2.442273517967542,0.16185128308241792
Tokyo,JP,35.6895,139.69171,9733276,44,0.605276,True,253.3000030517578,1432.0,5.432211795223964,7.757012464687056,60.52760000000001,12.55,15.72,0.5728,1.5877,0.0,0.0,False,3088.0154143384493,True,0.190982890999505,0.0065406548775676365,4.177211795223964,0.07789353992843873,0.190982890999505,0.008219225160770116,3.8602117952239636,0.09913915462094292
Yangon,MM,16.80528,96.15611,4477638,30,0.2417016573252616,True,245.57081604003903,2441.0,1.4038300144961229,3.669843247406945,24.17016573252616,-1.27,9.4,-0.0579,0.949,0.70369,0.07462,True,3326.6138946938713,True,0.4572328805930004,-0.0010493485081148335,1.5308300144961229,-0.13698484526689114,0.4572328805930004,0.0077780251512339915,0.46383001449612293,1.0218870176856072
Tianjin,CN,39.14222,117.17667,11090314,11,0.117718599999321,True,205.9684600830078,556.0,3.112840466926116,1.816541073776195,11.7718599999321,-9.3,10.07,-0.4242,1.0174,0.0,0.0,True,1648.257729168789,True,0.31645415467833393,-0.006660540587324015,4.0428404669261155,-0.36567059624206966,0.31645415467833393,0.007297808968259989,2.105840466926116,0.4298289031654807
Varanasi,IN,25.31668,83.01041,1164404,86,0.0641719299859855,True,230.3858337402344,1040.0,26.092927443350906,3.0783896695672963,6.417192998598551,-4.44,17.23,-0.2026,1.7399,0.15592,0.0007,True,1940.4054078860959,True,0.12451900671508154,-0.0016028665316171892,26.536927443350905,-0.006274450783294555,0.12451900671508154,0.006390703133812431,24.369927443350907,0.026724090750339297
Chattogram,BD,22.3384,91.83168,3920222,15,0.2789350093955502,True,296.0547790527344,2959.0,1.724269474326718,1.1638933942429677,27.89350093955502,-0.53,7.69,-0.024,0.7765,0.88999,0.2023,True,2571.2124966337105,True,0.5749226779348066,-0.00043137482597133125,1.777269474326718,-0.046957147246864395,0.5749226779348066,0.006245853952507652,0.9552694743267179,0.670197417023985
Patna,IN,25.59408,85.13563,1684297,53,0.0921172673310556,True,236.1080780029297,1046.0,4.257267109178315,5.362086505644111,9.21172673310556,-21.29,12.92,-0.9716,1.3047,0.0,0.03213,True,1969.5544097825891,True,0.16584980274415223,-0.009577079365659963,6.3862671091783145,-0.06850786542271126,0.16584980274415223,0.006037913462983185,2.965267109178315,0.04878714588749483
Kanpur,IN,26.46523,80.34975,2823249,137,0.0874991899999999,True,227.27545166015625,906.0,13.42793926909286,2.583761393982147,8.74991899999999,-14.17,10.84,-0.6466,1.095,0.0,0.02825,True,1764.862906168225,True,0.2026506374537788,-0.007517615787286935,14.84493926909286,-0.09594104751651245,0.2026506374537788,0.005895344168795447,12.34393926909286,0.08303526533095662
Barcelona,VE,10.1384,-64.68769,815141,3,0.1565541,True,220.5883636474609,943.0,5.95101853971164,4.488523015994694,15.65541,4.09,9.47,0.1865,0.9569,0.12257,0.02105,False,2196.620167110894,True,0.22435511399956032,0.0023789932322831886,5.54201853971164,0.04458413417026441,0.22435511399956032,0.00553539246586765,5.00401853971164,0.10607013323893066
Kalyān,IN,19.2437,73.13554,1262255,10,0.1256955999999282,True,282.4262084960937,2807.0,1.1749446860456487,9.468827724119528,12.56955999999282,7.19,14.03,0.3283,1.4173,0.00087,0.0001,False,2574.022464226019,True,0.16197243727464822,0.0032762784228214936,0.45594468604564875,0.024376492948057604,0.16197243727464822,0.005381297964220544,0.0,0.040712109480327
Prayagraj,IN,25.44478,81.84322,1073438,99,0.0632544323089667,True,338.3668212890625,919.0,8.484016174563237,2.307411403210911,6.32544323089667,-1.1,15.15,-0.0501,1.5299,0.71456,0.00157,True,1901.3293756466842,True,0.11783876729536837,-0.00038024636235006737,8.594016174563237,-0.0013466118549399497,0.11783876729536837,0.005346308497458846,6.9690161745632375,0.019856964012206185
Makassar,ID,-5.14861,119.43194,1423877,6,0.06073681,True,202.31625366210935,2840.0,0.6408789196613043,4.150668720810128,6.0736810000000006,6.0,6.25,0.2738,0.6312,0.0,9e-05,False,3129.9235517069224,True,0.47034726176738023,0.004980216801489634,0.0408789196613043,0.6621193250084652,0.47034726176738023,0.005187839283554374,0.01587891966130428,0.6897665181826724
Howrah,IN,22.57688,88.31857,1027672,8,0.116651700000003,True,238.06759643554688,1560.0,2.075226977950763,2.4225415226283515,11.6651700000003,-3.5,6.6,-0.1599,0.6662,0.32813,0.2367,True,2396.2470082192763,True,0.3548242848339327,-0.002663572379689283,2.425226977950763,-0.21154247060652676,0.3548242848339327,0.005047192703953485,1.4152269779507627,0.41322030218749983
Kolkata,IN,22.56263,88.36304,4631392,11,0.119528,True,239.5285186767578,1637.0,2.059967956054038,2.616875486305042,11.9528,-3.5,6.6,-0.1599,0.6662,0.32813,0.2367,True,2399.4184977245204,True,0.3545118937969244,-0.002662506218756966,2.409967956054038,-0.21093049190957824,0.3545118937969244,0.005045225526296215,1.399967956054038,0.4120538553537898
