name,country,lat,lon,population,pga,wtd,tws_cm_yr,reversal,dP,dP_lo,dP_hi,p_two,ci_excl0,fdr_sig,direction
Yokohama,JP,35.43333,139.65,3777491,0.6621291,2.6398107881285,1.5877,False,0.0131823600667306,0.0052217653273863,0.0218943302879452,0.0,True,True,increase
Bhayandar,IN,19.30157,72.85107,809378,0.1212539,2.9297322041657594,1.4173,False,0.0117697302764608,0.0038161602561318,0.0205713226468663,0.0,True,True,increase
Mumbai,IN,19.07283,72.88261,12691836,0.120297400125448,1.8768596932936816,1.4173,False,0.0108165938122896,0.0035724974761384,0.0143549539997001,0.0,True,True,increase
Delhi,IN,28.65195,77.23149,11034555,0.2294909887507435,15.228503852903032,-2.3689,False,-0.0113766608006131,-0.0215404015330639,-0.0021241040234326,0.0175,True,True,decrease
Lahore,PK,31.558,74.35071,13004135,0.177375700015881,8.545052262150023,-4.3053,False,-0.0140276495434888,-0.0226527665302359,-0.0058761489671956,0.0,True,True,decrease
Ludhiana,IN,30.91204,75.85379,1618879,0.2378727929457269,10.421911955443704,-7.7419,False,-0.0153533212038833,-0.0237705878345954,-0.0066860327121801,0.0,True,True,decrease
