name,country,lat,lon,population,P0,pga_475_g,wtd,recent_trend_cm_yr,dP,dP_lo,dP_hi,fdr_sig,is_material_hotspot,direction,recent_cumulative_dTWS_cm,recent_cumulative_water_table_rise_m_sy010,annualized_dP_per_year,liquefaction_sensitivity_per_m_rise,water_table_rise_trigger_m_for_plus0p01,trigger_reachable_before_surface,years_to_trigger_at_recent_rise_sy010,linearized_dP_sy010,distance_to_coast_km,metro_cluster_50km,grace_scale_cluster_300km
Tainan,TW,22.99083,120.21333,1856642,0.4951055488073359,0.6576578501474174,4.486152437628789,0.1935,0.001610778367505,0.0003473925302693,0.0031410837688323,True,False,sub-material increase,1.935,0.19349999999999998,0.0001610778367505,0.008324202276772505,1.2012412971826938,True,62.07965360117281,0.0016107331405554796,5.071396979016769,55,8
Sakai,JP,34.58216,135.46653,826161,0.5145080846281008,0.3961307725316076,5.684341886080804e-14,0.3534,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,True,False,sub-material increase,3.534,0.35339999999999994,4.4408920985006264e-17,0.008317990865498117,1.2030729408648497,False,34.04281100353282,0.002939577971867034,4.702428708779064,148,1
Yokohama,JP,35.43333,139.65,3777491,0.5189420934283357,0.6621291,2.6398107881285,1.5877,0.0131823600667306,0.0052217653273863,0.0218943302879452,True,True,material increase,15.876999999999999,1.5877,0.00131823600667306,0.00831305186331519,1.2040023560653168,True,7.583311432042055,0.013198632443385526,1.8340361042652882,1,1
Makassar,ID,-5.14861,119.43194,1423877,0.47034726176738023,0.06073681,0.6408789196613043,0.6312,0.005239330970689,0.0017247287311472,0.0053197165084566,True,False,sub-material increase,6.311999999999999,0.6311999999999999,0.0005239330970689,0.008295719813339746,1.2041691037840367,False,19.07745728428449,0.005236258346180047,4.150668720810128,14,7
Bhayandar,IN,19.30157,72.85107,809378,0.469437365737197,0.1212539,2.9297322041657594,1.4173,0.0117697302764608,0.0038161602561318,0.0205713226468663,True,True,material increase,14.173,1.4172999999999998,0.0011769730276460799,0.008293895315384374,1.2043897952003297,True,8.497776019193747,0.01175493783049427,2.301836643909409,2,2
Caloocan,PH,14.64953,120.96788,1712945,0.5268838785496096,0.3198267016083664,0.091554131380235,0.4215,0.0007599218058339,0.0007599218058339,0.0007599218058339,True,False,sub-material increase,4.215,0.4215,7.599218058339e-05,0.008300932660568524,1.2061466503599285,False,28.615578893473987,0.0034988431164296326,2.6995491791968473,30,11
Taipei,TW,25.05306,121.52639,7871900,0.46087376296387134,0.3369818386905979,0.2288853284504739,0.0507,0.0004195205423698,-0.0009367516973735,0.0018943580637169,False,False,sub-material increase,0.507,0.050699999999999995,4.195205423698e-05,0.008274022281260578,1.206864240930907,False,238.04028420727946,0.00041949292965991127,12.4933029549212,96,8
Dhaka,BD,23.7104,90.40744,10356500,0.45836747505821357,0.1949473000000002,0.4882887006943406,0.0607,0.000501866092094,-0.0083603291251546,0.0040394659854371,False,False,sub-material increase,0.607,0.0607,5.01866092094e-05,0.008267282204470152,1.2077251165918579,False,198.96624655549553,0.0005018240298113382,15.813506522357867,92,2
Yangon,MM,16.80528,96.15611,4477638,0.4572328805930004,0.2417016573252616,1.4038300144961229,0.949,0.0078525840287735,0.0005517502052593,0.0116225022491796,True,False,sub-material increase,9.49,0.949,0.00078525840287735,0.008264093417470995,1.2081353187948078,True,12.73061452892316,0.007842624653179975,4.078001626900382,6,4
Manila,PH,14.6042,120.9822,1600000,0.5352704588103365,0.3303762000045073,2.838178072785581,0.4215,0.0034897418002498,0.0006980618544253,0.0063995104776926,True,False,sub-material increase,4.215,0.4215,0.00034897418002498,0.008283574624685769,1.2090857026284592,True,28.685307298421332,0.0034915267043050514,2.868634674256883,30,11
Davao,PH,7.07306,125.61278,1848947,0.5353409432689337,0.4845108999999862,0.6103608758679115,0.1836,0.0015205006009754,-0.0001473050299545,0.0033683151395163,False,False,sub-material increase,1.836,0.1836,0.00015205006009754,0.008283408890371106,1.2091133667480813,False,65.85584786209593,0.001520833872272135,2.289362460020071,59,12
Niigata,JP,37.92259,139.04125,797591,0.5473504769314488,0.2601448673891304,5.684341886080804e-14,-0.4162,-0.0034359910290833,-0.0061704708228575,-0.0010020278703774,True,False,sub-material decrease,-4.162,-0.41619999999999996,-0.00034359910290832996,0.008250339146734334,1.214557817382215,False,,-0.003433791152870829,3.067905673733997,341,1
Zamboanga,PH,6.91028,122.07389,1018849,0.4424022693033588,0.2637117133536004,5.684341886080804e-14,0.2715,3.8857805861880484e-16,3.8857805861880484e-16,3.8857805861880484e-16,True,False,sub-material increase,2.7150000000000003,0.2715,3.885780586188048e-17,0.008214527297239288,1.214685315376921,False,44.73979062161771,0.0022302441612004668,1.848680897817665,195,12
Kaohsiung,TW,22.61626,120.31333,2737660,0.550557823687945,0.3681412361152513,1.1596856641489808,0.0956,0.0007876052972501,-0.0005893739314591,0.0021888046072442,False,False,sub-material increase,0.9560000000000001,0.0956,7.876052972501e-05,0.008239882085249159,1.2162605603795484,False,127.22390798949253,0.0007877327273498197,2.8664741308134767,55,8
Fukuoka,JP,33.6,130.41667,1612392,0.5548847109336004,0.2703739154132848,0.1373311970702957,0.407,0.0011292210388418,0.0008565886039953,0.0011292210388418,True,False,sub-material increase,4.069999999999999,0.4069999999999999,0.00011292210388417999,0.00822468936124098,1.2187264749186684,False,29.94413943289112,0.003347448570025078,2.396636241031313,56,1
New Taipei City,TW,25.06199,121.45703,4004367,0.4174407368464747,0.3321715041340599,0.5188067444877333,0.0507,0.0004106270631025,-0.0009592436771925,0.0017061431927624,False,False,sub-material increase,0.507,0.050699999999999995,4.106270631025e-05,0.008098026136649315,1.2308630045944942,False,242.7737681645945,0.0004105699251281202,8.201788204387995,96,8
Chattogram,BD,22.3384,91.83168,3920222,0.5749226779348066,0.2789350093955502,1.724269474326718,0.7765,0.0063066447842901,-0.0012531086229764,0.0139683037844325,False,False,sub-material increase,7.765,0.7765,0.00063066447842901,0.008138073524624874,1.232743872969733,True,15.875645498644344,0.006319214091871215,1.1638933942429677,9,2
Malingao,PH,7.16083,124.475,1121974,0.41506837508233535,0.5545271999996771,0.3662165255207696,0.3983,0.0029638183406366,0.0008033863604452,0.0029638183406366,True,False,sub-material increase,3.9829999999999997,0.39829999999999993,0.00029638183406366,0.008084794415658543,1.2327511115669487,False,30.950316634871932,0.0032201736157567973,31.168473435340843,35,12
Hiroshima,JP,34.4,132.45,1200754,0.4147114489219935,0.350937245802441,0.6408789196613043,0.1934,0.0015640616549372,0.0002325757333331,0.0031389375482984,True,False,sub-material increase,1.934,0.1934,0.00015640616549372,0.008082771239731976,1.2330406149239017,False,63.75597802088427,0.001563207957764164,5.409366507511519,58,1
Chiba,JP,35.6,140.11667,979768,0.4113296161094694,0.7891407000048927,0.0762951094835102,1.0304,0.0006153195528436,0.0006153195528436,0.0006153195528436,True,False,sub-material increase,10.304,1.0304,6.153195528436e-05,0.008063180848589507,1.2358547011885237,False,11.99393149445384,0.008308301546386627,3.375080387177573,1,1
Jepara,ID,-6.5924,110.671,1257912,0.40045710055596606,0.1135043000000001,0.0305180437934495,0.4829,0.0002440175633789,0.0002440175633789,0.0002440175633789,True,False,sub-material increase,4.829,0.4829,2.440175633789e-05,0.007995037331970156,1.2457901718228932,False,25.798098401799404,0.0038608035276083883,1.7422983269701109,108,19
Surabaya,ID,-7.24917,112.75083,2874314,0.39425643036497254,0.1756715000089241,2.3346303501945727,0.2774,0.0022082061862322,-0.0010019565736869,0.0058522855372327,False,False,sub-material increase,2.774,0.2774,0.00022082061862322002,0.007952649306112043,1.252080812482808,True,45.13629461005076,0.0022060649175154805,3.964466797522865,45,19
Kawasaki,JP,35.52056,139.71722,1538262,0.6042994598328536,0.6526173009763581,5.684341886080804e-14,1.5877,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,True,False,sub-material increase,15.876999999999999,1.5877,4.4408920985006264e-17,0.007962750035196546,1.2615347488919124,False,7.94567455370607,0.012642458230881556,4.7299740992182135,1,1
Luzhou,CN,28.8903,105.42575,998900,0.3810304064247856,0.1971011047434862,1.586938277256479,0.6356,0.0050042128246746,0.001002839819391,0.0097701316210069,True,False,sub-material increase,6.356000000000001,0.6356,0.00050042128246746,0.00785367965229146,1.2670857518232042,True,19.93526985247332,0.004991798786996452,830.7680884176891,16,5
Navi Mumbai,IN,19.03681,73.01582,2600000,0.38094859336649367,0.1217893695201236,5.684341886080804e-14,1.4173,4.996003610813204e-16,4.996003610813204e-16,4.996003610813204e-16,True,False,sub-material increase,14.173,1.4172999999999998,4.9960036108132046e-17,0.007853031193866832,1.2671855108835326,False,8.940841818129773,0.011130101111067459,2.9449367549001586,2,2
Yangjiang,CN,21.85563,111.96272,1292987,0.35912111542239994,0.1137957653696654,1.0986495765621953,0.1299,0.0009961720420938,-0.0012508917079017,0.0035528166136206,False,False,sub-material increase,1.299,0.1299,9.961720420938e-05,0.007664099558009703,1.2970482033510806,False,99.84974621640345,0.0009955665325854604,1.542818629129887,69,8
Howrah,IN,22.57688,88.31857,1027672,0.3548242848339327,0.116651700000003,2.075226977950763,0.6662,0.0050947550306674,-0.0013186095983712,0.0126397746681977,False,False,sub-material increase,6.662,0.6661999999999999,0.0005094755030667401,0.007623169590476496,1.3037285439442345,True,19.569626897992112,0.0050785555811754405,42.90711402900754,15,2
Kolkata,IN,22.56263,88.36304,4631392,0.3545118937969244,0.119528,2.059967956054038,0.6662,0.0050927696458126,-0.0013093987025666,0.0125765557450847,False,False,sub-material increase,6.662,0.6661999999999999,0.00050927696458126,0.007620145924749639,1.304225064446822,True,19.577079922648185,0.005076541215068208,46.329102497783424,15,2
Mumbai,IN,19.07283,72.88261,12691836,0.35036063504717974,0.120297400125448,1.8768596932936816,1.4173,0.0108165938122896,0.0035724974761384,0.0143549539997001,True,True,material increase,14.173,1.4172999999999998,0.0010816593812289599,0.007579348413202006,1.3109653059383117,True,9.249737571003399,0.010742210506031202,4.7052142468930125,2,2
Hamamatsu,JP,34.7,137.73333,791707,0.3491192316542594,0.7980442000000426,0.2441443503471987,0.2575,0.0018496808038376,0.0005196211928647,0.0018496808038376,True,False,sub-material increase,2.575,0.2575,0.00018496808038376001,0.007566925291655186,1.3130329191046561,False,50.991569673967234,0.0019484832626012103,5.597182522288186,53,1
Rui’an,CN,27.77605,120.65859,927383,0.34691150793949077,0.0790537299212845,5.684341886080804e-14,0.2598,3.8857805861880484e-16,3.8857805861880484e-16,3.8857805861880484e-16,True,False,sub-material increase,2.598,0.2598,3.885780586188048e-17,0.007544578322834693,1.3167701147787891,False,50.683992100800204,0.001960081448272453,2.6020261697394584,103,8
Padang,ID,-0.94924,100.35427,909040,0.6512807931448363,0.4070697,5.684341886080804e-14,0.1255,3.3306690738754696e-16,-0.0001770874606929,3.3306690738754696e-16,False,False,sub-material increase,1.255,0.12549999999999997,3.3306690738754695e-17,0.007562900250128126,1.3313286118184149,False,106.08196110106891,0.0009491439813910796,3.10603770717609,197,37
Pudong,CN,31.23995,121.50094,5681512,0.32494742117709424,0.0548643,5.684341886080804e-14,0.6576,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,True,False,sub-material increase,6.576,0.6576,4.4408920985006264e-17,0.007304574601760099,1.3583981534657414,False,20.656906226668823,0.0048034882581174405,14.674166305950324,20,5
Budta,PH,7.20417,124.43972,1273715,0.3195365565377467,0.5609091576962117,1.007095445182017,0.3983,0.0028907748123359,0.0007181867105477,0.0053559100879757,True,False,sub-material increase,3.9829999999999997,0.39829999999999993,0.00028907748123359,0.007240517087605746,1.3699858454060472,False,34.39582840587616,0.002883897955993368,25.739019749367824,35,12
Wenzhou,CN,27.99942,120.66682,2650000,0.31783772575895614,0.0686242899999701,0.0457770656901175,0.2598,0.0003306022888904,0.0002252022240566,0.0003306022888904,True,False,sub-material increase,2.598,0.2598,3.306022888904e-05,0.007220002964582914,1.3737408004517877,False,52.876859139791684,0.0018757567701986409,2.5667036269480707,103,8
Tianjin,CN,39.14222,117.17667,11090314,0.31645415467833393,0.117718599999321,3.112840466926116,1.0174,0.0073736357294239,0.0027019944033238,0.012359666617923,True,False,sub-material increase,10.174000000000001,1.0174,0.0007373635729423899,0.007203153724749663,1.3768411025407823,True,13.5329379058461,0.007328488599560308,46.59886225953735,7,5
Hanoi,VN,21.0245,105.84117,8053663,0.3120306007830926,0.08338389,0.3662165255207696,0.1071,0.0007661094018628,-0.0021939410903894,0.0026238545484459,False,False,sub-material increase,1.071,0.10709999999999999,7.661094018628e-05,0.007148427915102562,1.3870125562218256,False,129.5063077704786,0.0007655966297074843,83.13297666480142,77,25
Jing’an,CN,31.22,121.41583,936500,0.30966996056815854,0.0507968402419307,4.104676890211351,0.6576,0.0047006544213692,0.0013615147921282,0.0086019015606938,True,False,sub-material increase,6.576,0.6576,0.00047006544213692005,0.0071186900537927944,1.3926057670518583,True,21.177094997747243,0.004681250579374141,20.43301578224395,20,5
Santo Domingo,DO,18.47186,-69.89232,2201941,0.3070350909936708,0.4312265999999539,3.8147554741741487,0.3488,0.0024767920648013,0.0006809021030615,0.0046060444759537,True,False,sub-material increase,3.488,0.3488,0.00024767920648013,0.007085059311609566,1.3989880469677716,True,40.10860226398428,0.0024712686878894164,0.9185420873771835,42,17
Shubrā al Khaymah,EG,30.12511,31.25053,1240289,0.30663219828360766,0.2214394999999993,5.684341886080804e-14,0.1375,3.8857805861880484e-16,3.8857805861880484e-16,3.8857805861880484e-16,True,False,sub-material increase,1.375,0.13749999999999998,3.885780586188048e-17,0.007079876145537021,1.3999770990149474,False,101.81651629199617,0.0009734829700113404,117.80216392670157,81,20
Yangpu,CN,31.26193,121.51904,1210800,0.2960850909603779,0.0545040442712518,5.684341886080804e-14,0.6576,3.8857805861880484e-16,3.8857805861880484e-16,3.8857805861880484e-16,True,False,sub-material increase,6.576,0.6576,3.885780586188048e-17,0.006940343038716377,1.427158958920852,False,21.702538913029993,0.00456396958225989,11.86946615086639,20,5
Mandalay,MM,21.97473,96.08359,1208099,0.2940001137521673,0.3333079,4.516670481422182,0.3728,0.0025833231311815,-0.0031775825944254,0.0088124923529758,False,False,sub-material increase,3.728,0.37279999999999996,0.00025833231311815,0.0069118827606338045,1.432837862281287,True,38.43449201398302,0.0025767498931642823,333.3522309149601,40,16
Cebu City,PH,10.31672,123.89071,965332,0.2835265651794575,0.3347104821106495,0.3356984817273769,0.9923,0.002276329626615,0.002276329626615,0.002276329626615,True,False,sub-material increase,9.923,0.9923,0.0002276329626615,0.006764537092165979,1.4629998106369329,False,14.743523235280994,0.006712450156556301,2.9997171038362787,44,18
Surat,IN,21.19594,72.83023,4591246,0.2809631242668905,0.09830952,8.25513084611282,1.4158,0.0096221809737705,0.0028024831768068,0.0167540588840118,True,False,sub-material increase,14.158,1.4157999999999997,0.0009622180973770499,0.00672736080740031,1.4708172943524012,True,10.38859510066677,0.009524597431117356,7.635069984909337,4,2
