parameter,range_n_material_any_direction,range_median_abs_dP,range_mean_hotspot_abs_dP
Specific yield,29.040000000000003,0.0001602906408504374,0.016301616792291532
GRACE trend magnitude,16.76666666666667,9.892545798616069e-05,0.010158558862035715
PGA-to-PGV conversion,2.8,3.07126633745525e-05,0.0016762205073811935
