table,raw_line,change_2021_minus_2020_m,change_2022_minus_2021_m,direction_2022,source_url
table5_ward_area,研 15 南 砂 町 第１ 65～ 70 -3.45 -3.11 -2.85 -2.78 0.26 0.07,0.26,0.07,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_ward_area,〃 23 〃 第２ 125～130 -3.45 -3.13 -2.85 -2.81 0.28 0.04,0.28,0.04,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_ward_area,研 12 亀 戸 第１ 56～ 61 -3.93 -3.56 -3.30 -3.25 0.26 0.05,0.26,0.05,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_ward_area,〃 22 〃 第２ 139～144 -4.23 -3.89 -3.60 -3.46 0.29 0.14,0.29,0.14,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_ward_area,研 13 吾 嬬 Ａ 42～ 47 -5.60 -4.80 -4.52 -4.52 0.28 0.00,0.28,0.0,flat,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_ward_area,〃 16 〃 Ｂ 108～115 -5.44 -5.00 -4.69 -4.58 0.31 0.11,0.31,0.11,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_ward_area,研 65 両 国 第１ 35～ 37 -5.21 -4.88 -4.56 -4.59 0.32 -0.03,0.32,-0.03,fall,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_ward_area,〃 66 〃 第２ 76～ 87 -5.26 -4.94 -4.64 -4.68 0.30 -0.04,0.3,-0.04,fall,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_ward_area,研 30 新江 戸川 第２ 129～150 -5.79 -5.32 -5.01 -4.77 0.31 0.24,0.31,0.24,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_ward_area,〃 31 〃 第３ 313～346 -5.81 -5.41 -5.09 -4.79 0.32 0.30,0.32,0.3,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_ward_area,研 28 小 岩 47～ 55 2.5 -1.12 -1.07 -0.79 -0.77 0.28 0.02,0.28,0.02,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_ward_area,研 38 江戸川東部 第１ 62～ 67 -2.58 -2.42 -2.15 -2.19 0.27 -0.04,0.27,-0.04,fall,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
table5_ward_area,〃 39 〃 第２ 150～160 1.3 -5.05 -4.59 -4.20 -3.95 0.39 0.25,0.39,0.25,rise,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000066298
