area,pipe_no,well_name,screen_depth_m,ground_elevation_tp_m,level_2013_tp_m,level_2014_tp_m,level_2015_tp_m,level_2016_tp_m,change_2015_minus_2014_m,change_2016_minus_2015_m,resource_name,resource_url
江東区,研  15,南砂町　第１,65～70,-2.2,-3.95,-3.88,-3.96,-3.77,-0.08,0.19,表－5(1) 観測井の地下水位と変動量（区部）,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000030088
江東区,研  23,南砂町　第２,125～130,-2.2,-3.98,-3.89,-3.97,-3.8,-0.08,0.17,表－5(1) 観測井の地下水位と変動量（区部）,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000030088
江東区,研  12,亀戸　第１,56～61,-1.8,-4.63,-4.57,-4.57,-4.34,0.0,0.23,表－5(1) 観測井の地下水位と変動量（区部）,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000030088
江東区,研  22,亀戸　第２,139～144,-1.8,-4.92,-4.84,-4.85,-4.62,-0.01,0.23,表－5(1) 観測井の地下水位と変動量（区部）,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000030088
墨田区,研  13,吾嬬　Ａ,42～47,-1.0,-6.04,-5.94,-5.85,-5.71,0.09,0.14,表－5(1) 観測井の地下水位と変動量（区部）,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000030088
墨田区,研  16,吾嬬　Ｂ,108～115,-1.0,-6.34,-6.25,-6.09,-5.85,0.16,0.24,表－5(1) 観測井の地下水位と変動量（区部）,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000030088
墨田区,研  65,両国　第１,35～37,1.9,-6.02,-5.99,-5.83,-5.59,0.16,0.24,表－5(1) 観測井の地下水位と変動量（区部）,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000030088
墨田区,研  66,両国　第２,76～87,1.9,-6.12,-6.09,-5.94,-5.69,0.15,0.25,表－5(1) 観測井の地下水位と変動量（区部）,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000030088
江戸川区,研  30,新江戸川　第２,129～150,-1.6,-6.81,-6.53,-6.66,-6.45,-0.13,0.21,表－5(1) 観測井の地下水位と変動量（区部）,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000030088
江戸川区,研  31,新江戸川　第３,313～346,-1.6,-6.78,-6.5,-6.44,-6.25,0.06,0.19,表－5(1) 観測井の地下水位と変動量（区部）,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000030088
江戸川区,研  28,小岩　第,47～55,2.5,-0.66,-1.3,-1.41,-0.59,-0.11,0.82,表－5(1) 観測井の地下水位と変動量（区部）,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000030088
江戸川区,研  38,江戸川東部　第１,62～67,1.3,-3.12,-3.23,-3.44,-3.32,-0.21,0.12,表－5(1) 観測井の地下水位と変動量（区部）,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000030088
江戸川区,研  39,江戸川東部　第２,150～160,1.3,-5.9,-5.7,-5.76,-5.58,-0.06,0.18,表－5(1) 観測井の地下水位と変動量（区部）,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000030088
江戸川区,研  40,江戸川東部　第３,291～306,1.3,-6.69,-6.26,-6.21,-6.08,0.05,0.13,表－5(1) 観測井の地下水位と変動量（区部）,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000030088
江戸川区,研  48,小島　第１,37～40,0.1,-3.06,-3.03,-3.11,-3.01,-0.08,0.1,表－5(1) 観測井の地下水位と変動量（区部）,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000030088
江戸川区,研  49,小島　第２,70～77,0.1,-4.15,-4.07,-4.15,-4.0,-0.08,0.15,表－5(1) 観測井の地下水位と変動量（区部）,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000030088
江戸川区,研  50,小島　第３,123～134,0.1,-4.05,-3.96,-4.06,-3.9,-0.1,0.16,表－5(1) 観測井の地下水位と変動量（区部）,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000030088
江戸川区,研  51,小島　第４,212～229,0.1,-4.2,-4.11,-4.2,-4.03,-0.09,0.17,表－5(1) 観測井の地下水位と変動量（区部）,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000030088
江戸川区,研  52,篠崎　第１,55～60,1.5,-2.33,-2.89,-3.46,-3.11,-0.57,0.35,表－5(1) 観測井の地下水位と変動量（区部）,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000030088
江戸川区,研  53,篠崎　第２,250～260,1.5,-7.55,-7.19,-7.08,-6.91,0.11,0.17,表－5(1) 観測井の地下水位と変動量（区部）,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000030088
江戸川区,研  54,篠崎　第３,300～315,1.5,-7.56,-7.21,-7.06,-6.89,0.15,0.17,表－5(1) 観測井の地下水位と変動量（区部）,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000030088
足立区,研  32,新足立　第,224～234,0.0,-6.67,-6.43,-6.22,-5.96,0.21,0.26,表－5(1) 観測井の地下水位と変動量（区部）,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000030088
足立区,研  55,伊興　第,87～115,3.4,-6.69,-6.35,-5.92,-6.05,0.43,-0.13,表－5(1) 観測井の地下水位と変動量（区部）,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000030088
足立区,研  42,神明南　第１,99～104,1.2,-9.24,-8.82,-8.52,-8.54,0.3,-0.02,表－5(1) 観測井の地下水位と変動量（区部）,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000030088
足立区,研  43,神明南　第２,170～177,1.2,-10.49,-10.19,-9.96,-10.11,0.23,-0.15,表－5(1) 観測井の地下水位と変動量（区部）,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000030088
足立区,研  44,神明南　第３,304～330,1.2,-7.04,-6.7,-6.53,-6.39,0.17,0.14,表－5(1) 観測井の地下水位と変動量（区部）,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000030088
足立区,研 103,小台　第１,40～45,1.5,-3.5,-3.42,-3.17,-3.03,0.25,0.14,表－5(1) 観測井の地下水位と変動量（区部）,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000030088
足立区,研 104,小台　第２,148～160,1.5,-4.29,-4.04,-3.83,-3.64,0.21,0.19,表－5(1) 観測井の地下水位と変動量（区部）,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000030088
足立区,研 105,小台　第３,212～234,1.5,-3.85,-3.55,-3.36,-3.2,0.19,0.16,表－5(1) 観測井の地下水位と変動量（区部）,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000030088
足立区,研  62,舎人　第１,22～27,3.4,-4.61,-4.8,-4.76,-4.7,0.04,0.06,表－5(1) 観測井の地下水位と変動量（区部）,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000030088
