set,n,n_positive,n_negative,mean_delta_p,mean_abs_delta_p,sum_positive_delta_p,sum_negative_delta_p,cancellation_ratio_abs_sum_neg_over_pos
all cities,444,275,154,0.00042273669982748475,0.0012439934361959159,0.37001409019719494,-0.1823189954737917,0.4927352776663905
zero-aware FDR-detectable cities,311,198,113,0.0005152215415551212,0.0015255924154587931,0.3173465703156637,-0.157112670892021,0.49508230303463335
A/B follow-up point-city units,28,19,9,0.0023855758463073467,0.008375558791817155,0.150655884933743,-0.08385976123713731,0.5566311682681233
A material point-city units,6,3,3,-0.0008314912320840339,0.0127543859505777,0.035768684155481,-0.0407576315479852,1.1394780800662951
