name,country,role,direction,regional_setting,recent_tws_cm_yr,baseline_dP_sy010,dP_sy005,dP_sy010,dP_sy025,sy_material_threshold,water_table_rise_trigger_m_for_plus0p01,interpretation
Yokohama,JP,screening unit,increase,recharge-side validation,1.5877,0.0131823600667306,0.021894330287945296,0.01318236006673068,0.005277142324523698,0.13186851271525948,1.2040023560653168,material only for local S_y values at or below threshold
Bhayandar,IN,screening unit,increase,western India candidate,1.4173,0.0117697302764608,0.02356035356785885,0.011769730276460832,0.004704549816105963,0.1176778486207835,1.2043897952003295,material only for local S_y values at or below threshold
Mumbai,IN,screening unit,increase,western India candidate,1.4173,0.0108165938122896,0.01435495399970016,0.01081659381228961,0.004308928768898879,0.10811117529808202,1.3109653059383115,material only for local S_y values at or below threshold
Delhi,IN,screening unit,decrease,Punjab depletion,-2.3689,-0.0113766608006131,-0.022174860653044942,-0.011376660800613142,-0.004620746668093728,0.11412711522083271,1.9878404756047463,material only for local S_y values at or below threshold
Lahore,PK,screening unit,decrease,Punjab depletion,-4.3053,-0.0140276495434888,-0.02654716472981418,-0.01402764954348884,-0.0057997488331199415,0.1426076055697791,2.8030144858445865,material only for local S_y values at or below threshold
Ludhiana,IN,screening unit,decrease,Punjab depletion,-7.7419,-0.0153533212038833,-0.02756984927678316,-0.01535332120388333,-0.0065580606820205,0.15994912085618376,4.251906706054429,material only for local S_y values at or below threshold
Beijing,CN,mechanism anchor,increase,recharge-side validation,0.5703,0.0002529408037319,0.0005105976948408756,0.0002529408037319717,0.00010061579465161889,,17.07089194012865,mechanism-validation anchor; sub-material in global screen
Tokyo,JP,regional context,increase,recharge-side validation,1.5877,0.0083026372584477,0.016873481799745904,0.008302637258447737,0.0032889406629783013,0.0832950608494791,1.9061154212602045,regional-context screen; material only at low S_y
Tianjin,CN,regional context,increase,recharge-side validation,1.0174,0.0073736357294239,0.014835812200878928,0.007373635729423955,0.002938660002944682,0.07389378470199084,1.3768411025407823,regional-context screen; material only at low S_y
