ghsl_uc_id,ghsl_uc_name,ghsl_country_name,ghsl_area_km2,ghsl_pop_2025,n_geonames_points,matched_city_names,geonames_population_sum,population_weighted_dP,max_abs_dP,median_dP,n_material_point_hotspots,material_point_names
7599,Mumbai,India,738.0,20453270.03,5,Mumbai; Navi Mumbai; Thāne; Bhiwandi; Bhayandar,18816734,0.009026036785906045,0.0117697302764608,0.0086312201636333,2,Bhayandar; Mumbai
6229,Ludhiana,India,226.0,2323217.464,1,Ludhiana,1618879,-0.0153533212038833,0.0153533212038833,-0.0153533212038833,1,Ludhiana
7794,Lahore,Pakistan,898.0,14305060.03,1,Lahore,13004135,-0.0140276495434888,0.0140276495434888,-0.0140276495434888,1,Lahore
5929,Tokyo,Japan,5165.0,33155906.87,6,Tokyo; Yokohama; Kawasaki; Saitama; Chiba; Setagaya,18293722,0.007179528184140917,0.0131823600667306,0.0003764395861375,1,Yokohama
7963,New Delhi,India,2139.0,31422507.92,6,Delhi; Faridabad; Najafgarh; Ghāziābād; Gurugram; Rohini,16759315,-0.008640855607571909,0.0113766608006131,-0.00230922704592835,1,Delhi
3570,Dar es-Salaam,Tanzania,907.0,8918524.621,1,Dar es Salaam,5383728,0.0099400650158641,0.0099400650158641,0.0099400650158641,0,
6913,Surat,India,296.0,7100723.104,1,Surat,4591246,0.0096221809737705,0.0096221809737705,0.0096221809737705,0,
8012,Nashik,India,192.0,1970969.903,1,Nashik,1486053,0.009150408807873,0.009150408807873,0.009150408807873,0,
1991,Srinagar,India,168.0,1340177.15,1,Srinagar,1206419,-0.0086285932427188,0.0086285932427188,-0.0086285932427188,0,
7739,Kalyan-Dombivli,India,175.0,3214860.965,2,Kalyān; Dombivali,2509582,0.00684652508048541,0.0083292880236759,0.0068552929939482005,0,
5029,Yangon,Myanmar,545.0,6190957.71,1,Yangon,4477638,0.0078525840287735,0.0078525840287735,0.0078525840287735,0,
9127,Tianjin,China,671.0,7330647.551,1,Tianjin,11090314,0.0073736357294239,0.0073736357294239,0.0073736357294239,0,
5098,Seattle,United States,1123.0,2099643.254,1,Seattle,780995,-0.0067245943704312,0.0067245943704312,-0.0067245943704312,0,
5853,Puebla,México,375.0,1949859.502,1,Puebla,1692181,-0.006715498408346,0.006715498408346,-0.006715498408346,0,
10008,Varanasi,India,381.0,3812495.5,1,Varanasi,1164404,0.0064547441040125,0.0064547441040125,0.0064547441040125,0,
7439,Chattogram,Bangladesh,519.0,5175717.307,1,Chattogram,3920222,0.0063066447842901,0.0063066447842901,0.0063066447842901,0,
10586,Patna,India,262.0,3434078.365,1,Patna,1684297,0.006098119810889201,0.0060981198108892,0.0060981198108892,0,
9244,Kanpur,India,309.0,4413624.598,1,Kanpur,2823249,0.005955810106998499,0.0059558101069985,0.0059558101069985,0,
