event_key,event_title,event_id,event_date_utc,inventory_item,inventory_zip,inventory_status,null_zip,null_status,usgs_ground_failure_product_code,model_raster,model_status,info_json,info_status,control_design
tohoku_2011,"2011 Tohoku, Japan M9.1",official20110311054624120_30,2011-03-11T05:46:24Z,5f3c2b5082ce8df5b6c647fe,data_raw\event_hindcast_r40\Tohoku_MLITT_2011.zip,cached,,,20110311054624120_30,data_raw\event_hindcast_r40\usgs_ground_failure_models\official20110311054624120_30_zhu_2017_general_model.tif,cached,data_raw\event_hindcast_r40\usgs_ground_failure_models\official20110311054624120_30_info.json,cached,pseudo-controls outside buffered inventory
wenchuan_2008,"2008 Wenchuan, China M7.9",usp000g650,2008-05-12T06:28:01Z,5f3c2a0082ce8df5b6c647ca,data_raw\event_hindcast_r40\Wenchuan_Cao_2010.zip,cached,,,p000g650,data_raw\event_hindcast_r40\usgs_ground_failure_models\usp000g650_zhu_2017_general_model.tif,cached,data_raw\event_hindcast_r40\usgs_ground_failure_models\usp000g650_info.json,cached,pseudo-controls outside buffered inventory
nepal_2015,"2015 Gorkha, Nepal M7.8",us20002926,2015-04-25T06:11:25Z,5f3c2ce182ce8df5b6c64835,data_raw\event_hindcast_r40\Nepal_Moss_2015.zip,cached,,,20002926,data_raw\event_hindcast_r40\usgs_ground_failure_models\us20002926_zhu_2017_general_model.tif,cached,data_raw\event_hindcast_r40\usgs_ground_failure_models\us20002926_info.json,cached,pseudo-controls outside buffered inventory
puerto_rico_2020,2020 Puerto Rico M6.4,us70006vll,2020-01-07T08:24:26Z,61155d18d34ef38cf11d4ae7,data_raw\event_hindcast_r40\PR_liquefaction_points_20210913.zip,cached,data_raw\event_hindcast_r40\PR_liquefaction_nullpoints_20210913.zip,cached,70006vll,data_raw\event_hindcast_r40\usgs_ground_failure_models\us70006vll_zhu_2017_general_model.tif,cached,data_raw\event_hindcast_r40\usgs_ground_failure_models\us70006vll_info.json,cached,published_nullpoints
