city_row_id,name,country,lat,lon,population,pga,wtd,tws_cm_yr,reversal,dP,dP_lo,dP_hi,p_two,ci_excl0,fdr_sig,pga_475_g,vs30,precip,dw_km,is_material_hotspot,ghsl_uc_id,ghsl_uc_name,ghsl_country_name,ghsl_area_km2,ghsl_pop_2025,ghsl_match_method,distance_to_ghsl_centroid_km,ghsl_matched
17,Prayagraj,IN,25.44478,81.84322,1073438,0.0632544323089667,8.484016174563237,1.5299,True,0.005399910094125,0.0015612575336032,0.0101051179925019,0.002,True,True,0.0632544323089667,338.3668212890625,919.0,2.307411403210911,False,9714.0,Prayagraj,India,156.0,2358994.904,within_polygon,0.0,True
18,Kalyān,IN,19.2437,73.13554,1262255,0.1256955999999282,1.1749446860456487,1.4173,False,0.0053812979642205,0.0020564889245797,0.0053812979642205,0.0004999999999999,True,True,0.1256955999999282,282.4262084960937,2807.0,9.468827724119528,False,7739.0,Kalyan-Dombivli,India,175.0,3214860.965,within_polygon,0.0,True
19,Makassar,ID,-5.14861,119.43194,1423877,0.06073681,0.6408789196613043,0.6312,False,0.005239330970689,0.0017247287311472,0.0053197165084566,0.0,True,True,0.06073681,202.31625366210935,2840.0,4.150668720810128,False,8035.0,Makassar,Indonesia,343.0,2241888.193,within_polygon,0.0,True
20,Howrah,IN,22.57688,88.31857,1027672,0.116651700000003,2.075226977950763,0.6662,True,0.0050947550306674,-0.0013186095983712,0.0126397746681977,0.2224999999999999,False,False,0.116651700000003,238.06759643554688,1560.0,2.4225415226283515,False,11352.0,Kolkata,India,2482.0,23314585.33,within_polygon,0.0,True
21,Kolkata,IN,22.56263,88.36304,4631392,0.119528,2.059967956054038,0.6662,True,0.0050927696458126,-0.0013093987025666,0.0125765557450847,0.2290000000000001,False,False,0.119528,239.5285186767578,1637.0,2.616875486305042,False,11352.0,Kolkata,India,2482.0,23314585.33,within_polygon,0.0,True
22,Luzhou,CN,28.8903,105.42575,998900,0.1971011047434862,1.586938277256479,0.6356,False,0.0050042128246746,0.001002839819391,0.0097701316210069,0.0169999999999999,True,True,0.1971011047434862,260.203125,1130.0,0.8434698243891883,False,8336.0,Luzhou,China,64.0,446057.7543,within_polygon,0.0,True
23,Ranchi,IN,23.34316,85.3094,1120374,0.1272203,3.2806897077897474,1.1405,True,0.004955914891752,0.0007176902001159,0.0095665109793553,0.0324999999999999,True,True,0.1272203,324.3065490722656,1398.0,4.519244043659992,False,10832.0,Ranchi,India,200.0,1817833.171,within_polygon,0.0,True
24,Ciudad Guayana,VE,8.35122,-62.64102,978202,0.0609216311130317,24.00244144350347,3.2946,False,0.004915952855939,0.0017313225857529,0.0086130693844601,0.0,True,True,0.0609216311130317,438.891357421875,1269.0,3.3409581085302,False,4628.0,San Félix,Venezuela,73.0,148642.3779,within_polygon,0.0,True
25,Haikou,CN,20.03421,110.34651,2873358,0.0606846,1.4190890363927906,0.8239,False,0.0048257107875001,0.0010604850959056,0.0083566162214119,0.008,True,True,0.0606846,320.0976867675781,1697.0,2.162402121684889,False,10695.0,Xiuying District,China,199.0,1374151.77,within_polygon,0.0,True
26,Jing’an,CN,31.22,121.41583,936500,0.0507968402419307,4.104676890211351,0.6576,False,0.0047006544213692,0.0013615147921282,0.0086019015606938,0.0004999999999999,True,True,0.0507968402419307,226.0771942138672,1049.0,0.870828709193776,False,11345.0,Shanghai,China,3128.0,30678616.23,within_polygon,0.0,True
27,Vijayawada,IN,16.50745,80.6466,1143232,0.06847776,5.859464408331462,2.3443,False,0.0045902708923863,0.0016284815563342,0.0078356205976431,0.0,True,True,0.06847776,478.8851623535156,907.0,3.141960075467141,False,10224.0,Vijayawada,India,115.0,1240028.94,within_polygon,0.0,True
28,Zhabei,CN,31.25861,121.45972,840000,0.0543976236497186,3.0365453574426056,0.6576,False,0.0044447278430762,0.0012136954300911,0.0078690591103459,0.0015,True,True,0.0543976236497186,224.72799682617188,1049.0,1.8840728118856176,False,11345.0,Shanghai,China,3128.0,30678616.23,within_polygon,0.0,True
29,Kaifeng,CN,34.7986,114.30742,1451741,0.0997951691928758,1.7700465400168357,2.2778,True,0.0043969392064603,0.0018921885863275,0.0043969392064603,0.0,True,True,0.0997951691928758,187.62701416015625,628.0,11.03332152556843,False,9431.0,Kaifeng,China,193.0,1296333.573,within_polygon,0.0,True
30,Qinhuangdao,CN,39.94104,119.58936,759718,0.1847800918294732,1.1596856641489808,0.7283,False,0.0042830898810408,0.0015137770350567,0.0068465577570488,0.0,True,True,0.1847800918294732,234.6234893798828,614.0,4.0203159583287285,False,9489.0,Qinhuangdao,China,152.0,727667.2924,within_polygon,0.0,True
31,Nagoya,JP,35.18147,136.90641,2332176,0.4578695,12.802319371328338,0.664,False,0.0041915709353172,0.0014601161438896,0.0073164946180869,0.0,True,True,0.4578695,156.6999969482422,1974.0,10.286121018355862,False,5213.0,Nagoya,Japan,2392.0,7721742.251,within_polygon,0.0,True
32,Luohe,CN,33.57424,114.03261,1294974,0.0534729595322506,11.520561532005845,0.5955,True,0.0040014589304054,-4.663995172381743e-05,0.0086341412393811,0.1029999999999999,False,False,0.0534729595322506,199.6250915527344,790.0,0.9652806881183412,False,9571.0,Luohe,China,191.0,1183149.362,within_polygon,0.0,True
33,Putuo,CN,31.251,121.3897,1239100,0.0503584899999993,2.1972991531243338,0.6576,False,0.003967574017243,0.0011085859492778,0.0072150865603816,0.0009999999999998,True,True,0.0503584899999993,217.3177490234375,1049.0,3.3595569007410666,False,11345.0,Shanghai,China,3128.0,30678616.23,within_polygon,0.0,True
34,Hanzhong,CN,33.07507,107.02214,1006557,0.1400477000011399,3.64690623331046,0.6823,False,0.003910982978689,0.0012029459282103,0.0067580173646172,0.0009999999999998,True,True,0.1400477000011399,241.13682556152344,851.0,3.7579241939182646,False,7449.0,Hanzhong,China,54.0,371212.2285,within_polygon,0.0,True
35,Benghazi,LY,32.11486,20.06859,757490,0.0783412446839008,6.332494087129021,0.9766,False,0.0036816993522627,0.0014337018513617,0.0062601803119683,0.0,True,True,0.0783412446839008,238.5429229736328,227.0,3.9734942709756456,False,1088.0,Benghazi,Libya,150.0,599690.5151,within_polygon,0.0,True
36,Accra,GH,5.55602,-0.1969,1963264,0.0840799599994307,11.53582055390251,5.4265,False,0.0036759540436972,0.001421571951441,0.0065256269737419,0.0,True,True,0.0840799599994307,338.271240234375,925.0,11.697926397713385,False,3175.0,Accra,Ghana,1121.0,5890466.043,within_polygon,0.0,True
37,Jabalpur,IN,23.16697,79.95006,1081677,0.1361818,2.2583352407111192,1.6226,False,0.0035819517574923,0.0010560839536029,0.0050311073545877,0.0004999999999999,True,True,0.1361818,382.1177368164063,1238.0,7.089875175554792,False,9466.0,Jabalpur,India,147.0,1621134.785,within_polygon,0.0,True
38,Manila,PH,14.6042,120.9822,1600000,0.3303762000045073,2.838178072785581,0.4215,False,0.0034897418002498,0.0006980618544253,0.0063995104776926,0.0115,True,True,0.3303762000045073,222.3428497314453,2258.0,2.868634674256883,False,2323.0,Manila,Philippines,2555.0,25921189.32,within_polygon,0.0,True
39,Nanchong,CN,30.79508,106.08473,1858875,0.0702872509812431,21.637293049515563,0.8565,False,0.0033759501018316,0.0010048234267957,0.0061062500877847,0.0009999999999998,True,True,0.0702872509812431,285.2292175292969,1090.0,1.6133376582818284,False,7943.0,Shunqing,China,89.0,1110773.197,within_polygon,0.0,True
40,Linfen,CN,36.08889,111.51889,959198,0.1546868420043955,12.08514534218358,0.9104,True,0.0033597281576323,0.0005740557914018,0.00663916967876,0.0249999999999999,True,True,0.1546868420043955,293.7706298828125,507.0,3.074087015091247,False,8584.0,Linfen,China,157.0,1090241.238,within_polygon,0.0,True
41,Jamshedpur,IN,22.80278,86.18545,1339438,0.1567997419895702,18.08194094758528,1.161,True,0.003275903248584,0.0005394679193755,0.006624209526085,0.0235,True,True,0.1567997419895702,378.3258056640625,1269.0,3.4616104711520226,False,11032.0,Jamshedpur,India,161.0,2007932.496,within_polygon,0.0,True
42,Xuhui,CN,31.19594,121.44709,1109800,0.0507968402419307,3.31120775158314,0.6576,False,0.0030998488024287,0.000877337799885,0.0053684863250866,0.0009999999999998,True,True,0.0507968402419307,231.6250457763672,1049.0,4.619253362715052,False,11345.0,Shanghai,China,3128.0,30678616.23,within_polygon,0.0,True
43,Maracaibo,VE,10.64232,-71.61089,1752602,0.09229294999185,6.042572671091818,1.3193,False,0.0029827278373295,0.0011005920738077,0.0051091500449268,0.0,True,True,0.09229294999185,600.0,868.0,0.4958092525614138,False,1268.0,Maracaibo,Venezuela,295.0,2142105.375,within_polygon,0.0,True
44,Malingao,PH,7.16083,124.475,1121974,0.5545271999996771,0.3662165255207696,0.3983,False,0.0029638183406366,0.0008033863604452,0.0029638183406366,0.004,True,True,0.5545271999996771,208.9109344482422,2223.0,6.959409912321897,False,5596.0,Midsayap,Philippines,23.0,87377.6063,nearest_representative_point_le50km,7.134741671328396,True
45,Dalian,CN,38.91222,121.60222,4913879,0.0876957999990944,16.18982223239493,1.3534,True,0.002896224481439,0.0010760466035981,0.0049673568670224,0.0,True,True,0.0876957999990944,406.5933532714844,633.0,2.097084195587912,False,10113.0,Dalian,China,516.0,3599519.205,within_polygon,0.0,True
