name,country,pgv_per_pga_k,specific_yield,trend_multiplier,dP,is_material,sign_reversed_from_baseline
Yokohama,JP,60,0.05,0.5,0.0132013995043222,True,False
Bhayandar,IN,60,0.05,0.5,0.0115869620336602,True,False
Mumbai,IN,60,0.05,0.5,0.0102298447747641,True,False
Delhi,IN,60,0.05,0.5,-0.010140725631031,True,False
Lahore,PK,60,0.05,0.5,-0.0122466300978798,True,False
Ludhiana,IN,60,0.05,0.5,-0.0132085913983448,True,False
Yokohama,JP,60,0.05,0.8,0.0211304465321773,True,False
Bhayandar,IN,60,0.05,0.8,0.0185721218506693,True,False
Mumbai,IN,60,0.05,0.8,0.0135842578049331,True,False
Delhi,IN,60,0.05,0.8,-0.0159601891708224,True,False
Lahore,PK,60,0.05,0.8,-0.0189326263583593,True,False
Ludhiana,IN,60,0.05,0.8,-0.0197809628127795,True,False
Yokohama,JP,60,0.05,1.0,0.0219586919748986,True,False
Bhayandar,IN,60,0.05,1.0,0.0232409839492891,True,False
Mumbai,IN,60,0.05,1.0,0.0135842578049331,True,False
Delhi,IN,60,0.05,1.0,-0.0197315020651369,True,False
Lahore,PK,60,0.05,1.0,-0.0231304373922418,True,False
Ludhiana,IN,60,0.05,1.0,-0.0236728073582555,True,False
Yokohama,JP,60,0.05,1.2,0.0219586919748986,True,False
Bhayandar,IN,60,0.05,1.2,0.0240253215802888,True,False
Mumbai,IN,60,0.05,1.2,0.0135842578049331,True,False
Delhi,IN,60,0.05,1.2,-0.0234173845198714,True,False
Lahore,PK,60,0.05,1.2,-0.0271296711326328,True,False
Ludhiana,IN,60,0.05,1.2,-0.027210520619904,True,False
Yokohama,JP,60,0.05,1.5,0.0219586919748986,True,False
Bhayandar,IN,60,0.05,1.5,0.0240253215802888,True,False
Mumbai,IN,60,0.05,1.5,0.0135842578049331,True,False
Delhi,IN,60,0.05,1.5,-0.0287884355169526,True,False
Lahore,PK,60,0.05,1.5,-0.0327728839651365,True,False
Ludhiana,IN,60,0.05,1.5,-0.0319178719119259,True,False
Yokohama,JP,60,0.075,0.5,0.0087983963901048,False,False
Bhayandar,IN,60,0.075,0.5,0.0077165810500545,False,False
Mumbai,IN,60,0.075,0.5,0.0068003781825139,False,False
Delhi,IN,60,0.075,0.5,-0.0068223383707745,False,False
Lahore,PK,60,0.075,0.5,-0.0083218964226075,False,False
Ludhiana,IN,60,0.075,0.5,-0.0091389859228865,False,False
Yokohama,JP,60,0.075,0.8,0.0140822172527541,True,False
Bhayandar,IN,60,0.075,0.8,0.0123619473092138,True,False
Mumbai,IN,60,0.075,0.8,0.0109180472809378,True,False
Delhi,IN,60,0.075,0.8,-0.0107970505322662,True,False
Lahore,PK,60,0.075,0.8,-0.0130132614490338,True,False
Ludhiana,IN,60,0.075,0.8,-0.0139853313685198,True,False
Yokohama,JP,60,0.075,1.0,0.017606029857742,True,False
Bhayandar,IN,60,0.075,1.0,0.015464796518985,True,False
Mumbai,IN,60,0.075,1.0,0.0135842578049331,True,False
Delhi,IN,60,0.075,1.0,-0.0133979933211714,True,False
Lahore,PK,60,0.075,1.0,-0.0160199465194267,True,False
Ludhiana,IN,60,0.075,1.0,-0.0169739416694561,True,False
Yokohama,JP,60,0.075,1.2,0.0211304465321774,True,False
Bhayandar,IN,60,0.075,1.2,0.0185721218506693,True,False
Mumbai,IN,60,0.075,1.2,0.0135842578049331,True,False
Delhi,IN,60,0.075,1.2,-0.0159601891708224,True,False
Lahore,PK,60,0.075,1.2,-0.0189326263583594,True,False
Ludhiana,IN,60,0.075,1.2,-0.0197809628127795,True,False
Yokohama,JP,60,0.075,1.5,0.0219586919748986,True,False
Bhayandar,IN,60,0.075,1.5,0.0232409839492891,True,False
Mumbai,IN,60,0.075,1.5,0.0135842578049331,True,False
Delhi,IN,60,0.075,1.5,-0.0197315020651369,True,False
Lahore,PK,60,0.075,1.5,-0.0231304373922418,True,False
Ludhiana,IN,60,0.075,1.5,-0.0236728073582556,True,False
Yokohama,JP,60,0.1,0.5,0.0065977183450626,False,False
Bhayandar,IN,60,0.1,0.5,0.0057843282857734,False,False
Mumbai,IN,60,0.1,0.5,0.0050929165203301,False,False
Delhi,IN,60,0.1,0.5,-0.0051400500004517,False,False
Lahore,PK,60,0.1,0.5,-0.006301327948943,False,False
Ludhiana,IN,60,0.1,0.5,-0.006983405439679,False,False
Yokohama,JP,60,0.1,0.8,0.0105593586666827,True,False
Bhayandar,IN,60,0.1,0.8,0.0092638097524193,False,False
Mumbai,IN,60,0.1,0.8,0.0081698472301366,False,False
Delhi,IN,60,0.1,0.8,-0.0081570637559893,False,False
Lahore,PK,60,0.1,0.8,-0.0099102507254014,False,False
Ludhiana,IN,60,0.1,0.8,-0.0108046927413074,True,False
Yokohama,JP,60,0.1,1.0,0.0132013995043222,True,False
Bhayandar,IN,60,0.1,1.0,0.0115869620336602,True,False
Mumbai,IN,60,0.1,1.0,0.0102298447747641,True,False
Delhi,IN,60,0.1,1.0,-0.010140725631031,True,False
Lahore,PK,60,0.1,1.0,-0.0122466300978798,True,False
Ludhiana,IN,60,0.1,1.0,-0.0132085913983448,True,False
Yokohama,JP,60,0.1,1.2,0.015844026167469,True,False
Bhayandar,IN,60,0.1,1.2,0.0139127976447674,True,False
Mumbai,IN,60,0.1,1.2,0.0122967445298982,True,False
Delhi,IN,60,0.1,1.2,-0.0121023840547828,True,False
Lahore,PK,60,0.1,1.2,-0.0145284994816136,True,False
Ludhiana,IN,60,0.1,1.2,-0.015502977724013,True,False
Yokohama,JP,60,0.1,1.5,0.0198087417150589,True,False
Bhayandar,IN,60,0.1,1.5,0.0174063653151624,True,False
Mumbai,IN,60,0.1,1.5,0.0135842578049331,True,False
Delhi,IN,60,0.1,1.5,-0.0150038871858686,True,False
Lahore,PK,60,0.1,1.5,-0.0178512407261436,True,False
Ludhiana,IN,60,0.1,1.5,-0.0187489648367558,True,False
Yokohama,JP,60,0.15,0.5,0.0043977029034031,False,False
Bhayandar,IN,60,0.15,0.5,0.0038541096250133,False,False
Mumbai,IN,60,0.15,0.5,0.0033903453737977,False,False
Delhi,IN,60,0.15,0.5,-0.0034422746207141,False,False
Lahore,PK,60,0.15,0.5,-0.0042412006778374,False,False
Ludhiana,IN,60,0.15,0.5,-0.0047436183164093,False,False
Yokohama,JP,60,0.15,0.8,0.0070378036699764,False,False
Bhayandar,IN,60,0.15,0.8,0.0061706179197977,False,False
Mumbai,IN,60,0.15,0.8,0.0054340186269081,False,False
Delhi,IN,60,0.15,0.8,-0.00547774449479,False,False
Lahore,PK,60,0.15,0.8,-0.0067085881685775,False,False
Ludhiana,IN,60,0.15,0.8,-0.0074211681855553,False,False
Yokohama,JP,60,0.15,1.0,0.0087983963901048,False,False
Bhayandar,IN,60,0.15,1.0,0.0077165810500545,False,False
Mumbai,IN,60,0.15,1.0,0.0068003781825139,False,False
