name,country,lat,lon,population,pga,wtd,tws_cm_yr,reversal,dP,dP_lo,dP_hi,p_two,ci_excl0,fdr_sig,population_input,elev_m,pga_475_g,seismic,vs30,precip,wtd_input,dw_km,pgv,recent_trend_cm_yr,recent_se_cm_yr,recent_gws_cm_yr,full_trend_cm_yr,full_gws_cm_yr,recent_sm_cm_yr,full_sm_cm_yr,P0,is_material_hotspot,direction,recent_cumulative_dTWS_cm,recent_cumulative_water_table_rise_m_sy010,annualized_dP_per_year,csr_grid_ix,csr_grid_iy,csr_grid_lon,csr_grid_lat,csr_grid_cell_id,distance_to_coast_km,coastal_lt25km,coastal_lt50km,coastal_lt100km,metro_cluster_50km,grace_scale_cluster_300km,city_by_fdr_sig
Yangon,MM,16.80528,96.15611,4477638,0.2417016573252616,1.4038300144961229,0.949,True,0.0078525840287735,0.0005517502052593,0.0116225022491796,0.0705,True,True,4477638,30,0.2417016573252616,True,245.57081604003903,2441.0,1.4038300144961229,3.669843247406945,24.17016573252616,0.949,0.5266,-0.0137,-0.0579,-1.5484,0.9627,1.4905,0.4572328805930004,False,sub-material increase,9.49,0.949,0.00078525840287735,384,427,96.125,16.875,iy427_ix384,4.078001626900382,True,True,True,6,4,False
Tianjin,CN,39.14222,117.17667,11090314,0.117718599999321,3.112840466926116,1.0174,True,0.0073736357294239,0.0027019944033238,0.012359666617923,0.0,True,True,11090314,11,0.117718599999321,True,205.9684600830078,556.0,3.112840466926116,1.816541073776195,11.7718599999321,1.0174,0.1692,-0.7909,-0.4242,-1.0735,1.8083,0.6493,0.31645415467833393,False,sub-material increase,10.174000000000001,1.0174,0.0007373635729423899,468,516,117.125,39.125,iy516_ix468,46.59886225953735,False,True,True,7,5,True
Varanasi,IN,25.31668,83.01041,1164404,0.0641719299859855,26.092927443350906,1.7399,True,0.0064547441040125,0.0018980329960969,0.0116378114684587,0.0004999999999999,True,True,1164404,86,0.0641719299859855,True,230.3858337402344,1040.0,26.092927443350906,3.0783896695672963,6.417192998598551,1.7399,0.497,1.4191,-0.2026,-0.5522,0.3208,0.3496,0.12451900671508154,False,sub-material increase,17.399,1.7399,0.00064547441040125,332,461,83.125,25.375,iy461_ix332,592.5893601891714,False,False,False,8,2,True
Chattogram,BD,22.3384,91.83168,3920222,0.2789350093955502,1.724269474326718,0.7765,True,0.0063066447842901,-0.0012531086229764,0.0139683037844325,0.2004999999999999,False,False,3920222,15,0.2789350093955502,True,296.0547790527344,2959.0,1.724269474326718,1.1638933942429677,27.89350093955502,0.7765,0.6049,0.5834,-0.024,-1.0676,0.1931,1.0436,0.5749226779348066,False,sub-material increase,7.765,0.7765,0.00063066447842901,367,449,91.875,22.375,iy449_ix367,1.1638933942429677,True,True,True,9,2,False
Patna,IN,25.59408,85.13563,1684297,0.0921172673310556,4.257267109178315,1.3047,True,0.0060981198108892,0.000864302642856,0.0121689895101161,0.0304999999999999,True,True,1684297,53,0.0921172673310556,True,236.1080780029297,1046.0,4.257267109178315,5.362086505644111,9.21172673310556,1.3047,0.6002,0.7584,-0.9716,-0.8229,0.5463,-0.1487,0.16584980274415223,False,sub-material increase,13.047,1.3047,0.00060981198108892,340,462,85.125,25.625,iy462_ix340,450.97540562966645,False,False,False,10,2,False
Kanpur,IN,26.46523,80.34975,2823249,0.0874991899999999,13.42793926909286,1.095,True,0.0059558101069985,0.000963818175543,0.0116741145169482,0.0264999999999999,True,True,2823249,137,0.0874991899999999,True,227.27545166015625,906.0,13.42793926909286,2.583761393982147,8.74991899999999,1.095,0.4918,-0.6351,-0.6466,-0.7908,1.7301,0.1442,0.2026506374537788,False,sub-material increase,10.95,1.0949999999999998,0.00059558101069985,321,465,80.375,26.375,iy465_ix321,878.4503563959049,False,False,False,11,2,False
Barcelona,VE,10.1384,-64.68769,815141,0.1565541,5.95101853971164,0.9569,False,0.0055937627238466,0.0010259838369734,0.0109662133452184,0.0215,True,True,815141,3,0.1565541,True,220.5883636474609,943.0,5.95101853971164,4.488523015994694,15.65541,0.9569,0.4081,2.9007,0.1865,0.5327,-1.9438,-0.3462,0.22435511399956032,False,sub-material increase,9.568999999999999,0.9569,0.0005593762723846601,1181,400,295.375,10.125,iy400_ix1181,4.488523015994694,True,True,True,12,6,False
Prayagraj,IN,25.44478,81.84322,1073438,0.0632544323089667,8.484016174563237,1.5299,True,0.005399910094125,0.0015612575336032,0.0101051179925019,0.002,True,True,1073438,99,0.0632544323089667,True,338.3668212890625,919.0,8.484016174563237,2.307411403210911,6.32544323089667,1.5299,0.4705,1.2312,-0.0501,-0.2847,0.2987,0.2346,0.11783876729536837,False,sub-material increase,15.299,1.5298999999999998,0.0005399910094125,327,461,81.875,25.375,iy461_ix327,691.1029152189233,False,False,False,13,2,True
Kalyān,IN,19.2437,73.13554,1262255,0.1256955999999282,1.1749446860456487,1.4173,False,0.0053812979642205,0.0020564889245797,0.0053812979642205,0.0004999999999999,True,True,1262255,10,0.1256955999999282,True,282.4262084960937,2807.0,1.1749446860456487,9.468827724119528,12.56955999999282,1.4173,0.35,0.6714,0.3283,0.1536,0.7459,0.1747,0.16197243727464822,False,sub-material increase,14.173,1.4172999999999998,0.00053812979642205,292,436,73.125,19.125,iy436_ix292,9.468827724119528,True,True,True,2,2,True
Makassar,ID,-5.14861,119.43194,1423877,0.06073681,0.6408789196613043,0.6312,False,0.005239330970689,0.0017247287311472,0.0053197165084566,0.0,True,True,1423877,6,0.06073681,True,202.31625366210935,2840.0,0.6408789196613043,4.150668720810128,6.0736810000000006,0.6312,0.1546,0.5007,0.2738,0.0278,0.1305,0.246,0.47034726176738023,False,sub-material increase,6.311999999999999,0.6311999999999999,0.0005239330970689,477,339,119.375,-5.125,iy339_ix477,4.150668720810128,True,True,True,14,7,True
Howrah,IN,22.57688,88.31857,1027672,0.116651700000003,2.075226977950763,0.6662,True,0.0050947550306674,-0.0013186095983712,0.0126397746681977,0.2224999999999999,False,False,1027672,8,0.116651700000003,True,238.06759643554688,1560.0,2.075226977950763,2.4225415226283515,11.6651700000003,0.6662,0.5596,0.2499,-0.1599,-0.221,0.4163,0.0611,0.3548242848339327,False,sub-material increase,6.662,0.6661999999999999,0.0005094755030667401,353,450,88.375,22.625,iy450_ix353,42.90711402900754,False,True,True,15,2,False
Kolkata,IN,22.56263,88.36304,4631392,0.119528,2.059967956054038,0.6662,True,0.0050927696458126,-0.0013093987025666,0.0125765557450847,0.2290000000000001,False,False,4631392,11,0.119528,True,239.5285186767578,1637.0,2.059967956054038,2.616875486305042,11.9528,0.6662,0.5596,0.2499,-0.1599,-0.221,0.4163,0.0611,0.3545118937969244,False,sub-material increase,6.662,0.6661999999999999,0.00050927696458126,353,450,88.375,22.625,iy450_ix353,46.329102497783424,False,True,True,15,2,False
Luzhou,CN,28.8903,105.42575,998900,0.1971011047434862,1.586938277256479,0.6356,False,0.0050042128246746,0.001002839819391,0.0097701316210069,0.0169999999999999,True,True,998900,256,0.1971011047434862,True,260.203125,1130.0,1.586938277256479,0.8434698243891883,19.710110474348618,0.6356,0.2677,0.7245,0.7136,0.3687,-0.0889,0.3449,0.3810304064247856,False,sub-material increase,6.356000000000001,0.6356,0.00050042128246746,421,475,105.375,28.875,iy475_ix421,830.7680884176891,False,False,False,16,5,False
Ranchi,IN,23.34316,85.3094,1120374,0.1272203,3.2806897077897474,1.1405,True,0.004955914891752,0.0007176902001159,0.0095665109793553,0.0324999999999999,True,True,1120374,643,0.1272203,True,324.3065490722656,1398.0,3.2806897077897474,4.519244043659992,12.72203,1.1405,0.5321,0.2571,-0.2232,-0.4483,0.8834,0.2251,0.15183674228264088,False,sub-material increase,11.405000000000001,1.1405,0.0004955914891752,341,453,85.375,23.375,iy453_ix341,275.0819977502876,False,False,False,17,2,False
Ciudad Guayana,VE,8.35122,-62.64102,978202,0.0609216311130317,24.00244144350347,3.2946,False,0.004915952855939,0.0017313225857529,0.0086130693844601,0.0,True,True,978202,103,0.0609216311130317,True,438.891357421875,1269.0,24.00244144350347,3.3409581085302,6.09216311130317,3.2946,0.6256,5.3409,0.7751,0.8942,-2.0463,-0.1191,0.044604315160460234,False,sub-material increase,32.946,3.2945999999999995,0.0004915952855938999,1189,393,297.375,8.375,iy393_ix1189,111.20458620887747,False,False,False,18,6,True
Haikou,CN,20.03421,110.34651,2873358,0.0606846,1.4190890363927906,0.8239,False,0.0048257107875001,0.0010604850959056,0.0083566162214119,0.008,True,True,2873358,9,0.0606846,True,320.0976867675781,1697.0,1.4190890363927906,2.162402121684889,6.06846,0.8239,0.3104,0.1825,0.5333,0.072,0.6414,0.4613,0.22536624203154929,False,sub-material increase,8.238999999999999,0.8238999999999999,0.00048257107875001004,441,440,110.375,20.125,iy440_ix441,2.162402121684889,True,True,True,19,8,True
Jing’an,CN,31.22,121.41583,936500,0.0507968402419307,4.104676890211351,0.6576,False,0.0047006544213692,0.0013615147921282,0.0086019015606938,0.0004999999999999,True,True,936500,32,0.0507968402419307,True,226.0771942138672,1049.0,4.104676890211351,0.870828709193776,5.07968402419307,0.6576,0.2028,0.958,0.3939,-0.1158,-0.3004,0.5097,0.30966996056815854,False,sub-material increase,6.576,0.6576,0.00047006544213692005,485,484,121.375,31.125,iy484_ix485,20.43301578224395,True,True,True,20,5,True
Vijayawada,IN,16.50745,80.6466,1143232,0.06847776,5.859464408331462,2.3443,False,0.0045902708923863,0.0016284815563342,0.0078356205976431,0.0,True,True,1143232,47,0.06847776,True,478.8851623535156,907.0,5.859464408331462,3.141960075467141,6.847776,2.3443,0.4223,1.0763,0.5183,0.3669,1.268,0.1514,0.06046931500298672,False,sub-material increase,23.443,2.3443,0.00045902708923863,322,426,80.625,16.625,iy426_ix322,59.307734061876786,False,False,True,21,2,True
Zhabei,CN,31.25861,121.45972,840000,0.0543976236497186,3.0365453574426056,0.6576,False,0.0044447278430762,0.0012136954300911,0.0078690591103459,0.0015,True,True,840000,10,0.0543976236497186,True,224.72799682617188,1049.0,3.0365453574426056,1.8840728118856176,5.43976236497186,0.6576,0.2028,0.958,0.3939,-0.1158,-0.3004,0.5097,0.2809287858449564,False,sub-material increase,6.576,0.6576,0.00044447278430762,485,485,121.375,31.375,iy485_ix485,14.506848567773114,True,True,True,20,5,True
Kaifeng,CN,34.7986,114.30742,1451741,0.0997951691928758,1.7700465400168357,2.2778,True,0.0043969392064603,0.0018921885863275,0.0043969392064603,0.0,True,True,1451741,76,0.0997951691928758,True,187.62701416015625,628.0,1.7700465400168357,11.03332152556843,9.97951691928758,2.2778,0.5075,1.2898,-1.8324,-1.9449,0.988,0.1125,0.07901016658668171,False,sub-material increase,22.778,2.2777999999999996,0.00043969392064603,457,499,114.375,34.875,iy499_ix457,445.5516253742311,False,False,False,22,5,True
Qinhuangdao,CN,39.94104,119.58936,759718,0.1847800918294732,1.1596856641489808,0.7283,False,0.0042830898810408,0.0015137770350567,0.0068465577570488,0.0,True,True,759718,2,0.1847800918294732,True,234.6234893798828,614.0,1.1596856641489808,4.0203159583287285,18.47800918294732,0.7283,0.1404,-0.719,0.0395,-0.2648,1.4473,0.3043,0.2269505878939417,False,sub-material increase,7.2829999999999995,0.7282999999999998,0.00042830898810407997,478,519,119.625,39.875,iy519_ix478,4.0203159583287285,True,True,True,23,5,True
Nagoya,JP,35.18147,136.90641,2332176,0.4578695,12.802319371328338,0.664,False,0.0041915709353172,0.0014601161438896,0.0073164946180869,0.0,True,True,2332176,23,0.4578695,True,156.6999969482422,1974.0,12.802319371328338,10.286121018355862,45.78695,0.664,0.1381,0.7272,0.3077,0.279,-0.0632,0.0287,0.2520813183052804,False,sub-material increase,6.640000000000001,0.6639999999999999,0.00041915709353172,547,500,136.875,35.125,iy500_ix547,10.286121018355862,True,True,True,24,1,True
Luohe,CN,33.57424,114.03261,1294974,0.0534729595322506,11.520561532005845,0.5955,True,0.0040014589304054,-4.663995172381743e-05,0.0086341412393811,0.1029999999999999,False,False,1294974,67,0.0534729595322506,True,199.6250915527344,790.0,11.520561532005845,0.9652806881183412,5.34729595322506,0.5955,0.3646,0.1516,-0.7877,-0.8011,0.4439,0.0134,0.27842975736089753,False,sub-material increase,5.955,0.5954999999999999,0.00040014589304054,456,494,114.125,33.625,iy494_ix456,491.4947661133379,False,False,False,25,5,False
Putuo,CN,31.251,121.3897,1239100,0.0503584899999993,2.1972991531243338,0.6576,False,0.003967574017243,0.0011085859492778,0.0072150865603816,0.0009999999999998,True,True,1239100,10,0.0503584899999993,True,217.3177490234375,1049.0,2.1972991531243338,3.3595569007410666,5.03584899999993,0.6576,0.2028,0.958,0.3939,-0.1158,-0.3004,0.5097,0.23569380193435863,False,sub-material increase,6.576,0.6576,0.0003967574017243,485,485,121.375,31.375,iy485_ix485,19.621425547411096,True,True,True,20,5,True
Hanzhong,CN,33.07507,107.02214,1006557,0.1400477000011399,3.64690623331046,0.6823,False,0.003910982978689,0.0012029459282103,0.0067580173646172,0.0009999999999998,True,True,1006557,517,0.1400477000011399,True,241.13682556152344,851.0,3.64690623331046,3.7579241939182646,14.00477000011399,0.6823,0.1859,-0.6083,0.2854,0.2375,1.2906,0.0479,0.21900588444603977,False,sub-material increase,6.823,0.6822999999999999,0.0003910982978689,428,492,107.125,33.125,iy492_ix428,1129.9503386779763,False,False,False,26,5,True
Benghazi,LY,32.11486,20.06859,757490,0.0783412446839008,6.332494087129021,0.9766,False,0.0036816993522627,0.0014337018513617,0.0062601803119683,0.0,True,True,757490,3,0.0783412446839008,True,238.5429229736328,227.0,6.332494087129021,3.9734942709756456,7.83412446839008,0.9766,0.1217,0.0862,0.1609,0.2029,0.8904,-0.042,0.12831764450278224,False,sub-material increase,9.766,0.9765999999999999,0.00036816993522627,80,488,20.125,32.125,iy488_ix80,3.9734942709756456,True,True,True,27,9,True
Accra,GH,5.55602,-0.1969,1963264,0.0840799599994307,11.53582055390251,5.4265,False,0.0036759540436972,0.001421571951441,0.0065256269737419,0.0,True,True,1963264,33,0.0840799599994307,True,338.271240234375,925.0,11.53582055390251,11.697926397713385,8.40799599994307,5.4265,0.3994,4.261,2.6367,2.4106,1.1655,0.2261,0.01899036920626472,False,sub-material increase,54.265,5.426499999999999,0.00036759540436971997,1439,382,359.875,5.625,iy382_ix1439,11.697926397713383,True,True,True,28,10,True
Jabalpur,IN,23.16697,79.95006,1081677,0.1361818,2.2583352407111192,1.6226,False,0.0035819517574923,0.0010560839536029,0.0050311073545877,0.0004999999999999,True,True,1081677,416,0.1361818,True,382.1177368164063,1238.0,2.2583352407111192,7.089875175554792,13.61818,1.6226,0.4813,0.7326,0.3763,0.4155,0.89,-0.0392,0.06961290146172097,False,sub-material increase,16.226,1.6225999999999998,0.00035819517574923,319,452,79.875,23.125,iy452_ix319,665.5472025327381,False,False,False,29,2,True
Manila,PH,14.6042,120.9822,1600000,0.3303762000045073,2.838178072785581,0.4215,False,0.0034897418002498,0.0006980618544253,0.0063995104776926,0.0115,True,True,1600000,13,0.3303762000045073,True,222.3428497314453,2258.0,2.838178072785581,2.868634674256883,33.03762000045073,0.4215,0.1698,0.0098,0.3439,0.1743,0.4117,0.1696,0.5352704588103365,False,sub-material increase,4.215,0.4215,0.00034897418002498,483,418,120.875,14.625,iy418_ix483,2.868634674256883,True,True,True,30,11,False
Nanchong,CN,30.79508,106.08473,1858875,0.0702872509812431,21.637293049515563,0.8565,False,0.0033759501018316,0.0010048234267957,0.0061062500877847,0.0009999999999998,True,True,1858875,287,0.0702872509812431,True,285.2292175292969,1090.0,21.637293049515563,1.6133376582818284,7.028725098124309,0.8565,0.2559,0.2552,0.7102,0.5495,0.6013,0.1607,0.13550419512687714,False,sub-material increase,8.565000000000001,0.8565000000000002,0.00033759501018316,424,483,106.125,30.875,iy483_ix424,1012.4516424409682,False,False,False,31,5,True
Linfen,CN,36.08889,111.51889,959198,0.1546868420043955,12.08514534218358,0.9104,True,0.0033597281576323,0.0005740557914018,0.00663916967876,0.0249999999999999,True,True,959198,451,0.1546868420043955,True,293.7706298828125,507.0,12.08514534218358,3.074087015091247,15.46868420043955,0.9104,0.4133,0.0973,-1.7069,-1.7966,0.8131,0.0897,0.12526262390434942,False,sub-material increase,9.104,0.9103999999999999,0.00033597281576323,446,504,111.625,36.125,iy504_ix446,602.191625485961,False,False,False,32,5,False
Jamshedpur,IN,22.80278,86.18545,1339438,0.1567997419895702,18.08194094758528,1.161,True,0.003275903248584,0.0005394679193755,0.006624209526085,0.0235,True,True,1339438,171,0.1567997419895702,True,378.3258056640625,1269.0,18.08194094758528,3.4616104711520226,15.67997419895702,1.161,0.5208,0.8147,-0.0705,-0.4169,0.3463,0.3464,0.09184177486528729,False,sub-material increase,11.61,1.1609999999999998,0.0003275903248584,344,451,86.125,22.875,iy451_ix344,172.78464176813023,False,False,False,33,2,False
