pgv_per_pga_k,specific_yield,trend_multiplier,mean_dP,median_abs_dP,mean_hotspot_abs_dP,n_material_increase,n_material_decrease,n_material_any_direction,n_positive,n_negative,hotspot_sign_reversals
60,0.05,0.5,0.00039929579844322953,0.00010038959184873082,0.011769025573333737,3,3,6,275,154,0
60,0.05,0.8,0.0005976147516487706,0.00015069908322414927,0.017993434088290215,13,5,18,275,154,0
60,0.05,1.0,0.0006927227871719832,0.0001840186187620289,0.020886446757459237,17,8,25,275,154,0
60,0.05,1.2,0.0007688432737107517,0.00021701879390494247,0.02288764127208817,24,10,34,275,154,0
60,0.05,1.5,0.0008501355198195169,0.00024589628215147276,0.025507910459022648,31,14,45,275,154,0
60,0.075,0.5,0.00027521371363166164,6.689739871733943e-05,0.007933096056490325,0,0,0,275,154,0
60,0.075,0.8,0.00042262169977365886,0.00010709968583303992,0.012526309198787625,3,3,6,275,154,0
60,0.075,1.0,0.000515489081681812,0.00013051165681930385,0.015507827615285756,10,4,14,275,154,0
60,0.075,1.2,0.0005976147516487707,0.00015069908322414927,0.01799343408829024,13,5,18,275,154,0
60,0.075,1.5,0.0006927227871719832,0.0001840186187620289,0.02088644675745924,17,8,25,275,154,0
60,0.1,0.5,0.00021081083971365673,5.027235592977195e-05,0.00598329109004003,0,0,0,275,154,0
60,0.1,0.8,0.0003264755917927064,8.027243915327813e-05,0.009477503811989495,1,1,2,275,154,0
60,0.1,1.0,0.00039929579844322953,0.00010038959184873082,0.011769025573333737,3,3,6,275,154,0
60,0.1,1.2,0.00046927674938344806,0.00012043334051639598,0.014031238267090712,5,4,9,275,154,0
60,0.1,1.5,0.0005686924080564561,0.0001460882577025269,0.017067242930653787,12,5,17,275,154,0
60,0.15,0.5,0.0001450689848289761,3.358165325125721e-05,0.004011541919529197,0,0,0,275,154,0
60,0.15,0.8,0.00022367403771790222,5.3602591328636806e-05,0.006374990177600886,0,0,0,275,154,0
60,0.15,1.0,0.00027521371363166164,6.689739871733943e-05,0.007933096056490325,0,0,0,275,154,0
60,0.15,1.2,0.0003264755917927063,8.027243915327813e-05,0.009477503811989495,1,1,2,275,154,0
60,0.15,1.5,0.0003992957984432299,0.00010038959184873082,0.011769025573333737,3,3,6,275,154,0
60,0.2,0.5,0.00011010022181172532,2.5211425022550926e-05,0.00301726663478393,0,0,0,275,154,0
60,0.2,0.8,0.00017189134648558504,4.0265865506896236e-05,0.004802909901554507,0,0,0,275,154,0
60,0.2,1.0,0.00021081083971365673,5.027235592977195e-05,0.00598329109004003,0,0,0,275,154,0
60,0.2,1.2,0.0002494319943233271,6.025520893799532e-05,0.007155772553444843,0,0,0,275,154,0
60,0.2,1.5,0.0003074089454462773,7.524622458369469e-05,0.008899938787430573,0,1,1,275,154,0
60,0.25,0.5,8.900805470009947e-05,2.0181268474014154e-05,0.0024179732162514546,0,0,0,275,154,0
60,0.25,0.8,0.0001394567353177311,3.224353616750606e-05,0.00385283757708125,0,0,0,275,154,0
60,0.25,1.0,0.00017189134648558496,4.0265865506896236e-05,0.004802909901554507,0,0,0,275,154,0
60,0.25,1.2,0.0002031133558960814,4.8272954447743524e-05,0.00574785060334073,0,0,0,275,154,0
60,0.25,1.5,0.00024943199432332706,6.025520893799532e-05,0.007155772553444848,0,0,0,275,154,0
80,0.05,0.5,0.00041289266841063873,0.00010998940321381174,0.012323083580330435,3,3,6,275,154,0
80,0.05,0.8,0.0006172568934158178,0.00016367763957739125,0.018833268298537733,13,7,20,275,154,0
80,0.05,1.0,0.0007149368699006976,0.0002025046147138453,0.021894569980732633,18,9,27,275,154,0
80,0.05,1.2,0.0007930360949705343,0.00023616080209244283,0.024051615653319165,26,10,36,275,154,0
80,0.05,1.5,0.000875777693254792,0.00026723982803456524,0.02689065439720707,32,16,48,275,154,0
