name,country,baseline_csr_recent_tws_cm_yr,baseline_sign,cpc_corrected_recent_gws_cm_yr,cpc_corrected_full_gws_cm_yr,csr_tws_ols_2014_2024_cm_yr,csr_tws_theilsen_2014_2024_cm_yr,csr_tws_ols_2015_2024_cm_yr,csr_tws_theilsen_2015_2024_cm_yr,csr_tws_ols_2016_2024_cm_yr,csr_tws_theilsen_2016_2024_cm_yr,csr_tws_ols_2018_2024_cm_yr,csr_tws_theilsen_2018_2024_cm_yr,n_available_driver_signs,n_available_signs_matching_baseline,available_sign_agreement_fraction,available_sign_agreement_grade,sign_drivers_used
Khulna,BD,0.6085,1,0.0947,-1.0576,0.4975654652307831,0.31848225301471306,0.6084659628556276,0.3651102896855946,0.64656514699729,0.2382441299006162,-0.16761766912971712,-0.5480978828958835,10,7,0.7,available-probable,csr_tws_ols_2014_2024_cm_yr; csr_tws_theilsen_2014_2024_cm_yr; csr_tws_ols_2015_2024_cm_yr; csr_tws_theilsen_2015_2024_cm_yr; csr_tws_ols_2016_2024_cm_yr; csr_tws_theilsen_2016_2024_cm_yr; csr_tws_ols_2018_2024_cm_yr; csr_tws_theilsen_2018_2024_cm_yr; cpc_corrected_recent_gws_cm_yr; cpc_corrected_full_gws_cm_yr
Xinxiang,CN,2.2778,1,1.0724,-1.9845,1.8450300397949233,1.8697651034659537,2.2777702241424502,2.377192431822647,3.359879910713142,3.426788684319111,5.086262461277229,5.013726910437389,10,9,0.9,available-robust,csr_tws_ols_2014_2024_cm_yr; csr_tws_theilsen_2014_2024_cm_yr; csr_tws_ols_2015_2024_cm_yr; csr_tws_theilsen_2015_2024_cm_yr; csr_tws_ols_2016_2024_cm_yr; csr_tws_theilsen_2016_2024_cm_yr; csr_tws_ols_2018_2024_cm_yr; csr_tws_theilsen_2018_2024_cm_yr; cpc_corrected_recent_gws_cm_yr; cpc_corrected_full_gws_cm_yr
Jinzhong,CN,0.6424,1,0.2519,-1.907,-0.04461953752150884,-0.020067304389076883,0.6423983717406968,0.6775803425511031,0.9398648114518929,1.037800351333079,2.0572578986464785,1.9153064550634387,10,7,0.7,available-probable,csr_tws_ols_2014_2024_cm_yr; csr_tws_theilsen_2014_2024_cm_yr; csr_tws_ols_2015_2024_cm_yr; csr_tws_theilsen_2015_2024_cm_yr; csr_tws_ols_2016_2024_cm_yr; csr_tws_theilsen_2016_2024_cm_yr; csr_tws_ols_2018_2024_cm_yr; csr_tws_theilsen_2018_2024_cm_yr; cpc_corrected_recent_gws_cm_yr; cpc_corrected_full_gws_cm_yr
Sholapur,IN,2.7252,1,1.3689,0.0069,2.1026456663246567,2.0770990588438867,2.725210091388895,2.614005637694233,3.0964629286458805,3.000562369940134,2.758297463628388,2.618461071474248,10,10,1.0,available-robust,csr_tws_ols_2014_2024_cm_yr; csr_tws_theilsen_2014_2024_cm_yr; csr_tws_ols_2015_2024_cm_yr; csr_tws_theilsen_2015_2024_cm_yr; csr_tws_ols_2016_2024_cm_yr; csr_tws_theilsen_2016_2024_cm_yr; csr_tws_ols_2018_2024_cm_yr; csr_tws_theilsen_2018_2024_cm_yr; cpc_corrected_recent_gws_cm_yr; cpc_corrected_full_gws_cm_yr
Liupanshui,CN,0.0844,1,0.6846,0.2012,0.14965776378743872,0.14621373342869565,0.08438827771733266,0.11340900263174747,-0.008208408015284661,-0.029094295139466337,-0.4419021860499396,-0.41075144054740215,10,6,0.6,available-probable,csr_tws_ols_2014_2024_cm_yr; csr_tws_theilsen_2014_2024_cm_yr; csr_tws_ols_2015_2024_cm_yr; csr_tws_theilsen_2015_2024_cm_yr; csr_tws_ols_2016_2024_cm_yr; csr_tws_theilsen_2016_2024_cm_yr; csr_tws_ols_2018_2024_cm_yr; csr_tws_theilsen_2018_2024_cm_yr; cpc_corrected_recent_gws_cm_yr; cpc_corrected_full_gws_cm_yr
Petaling Jaya,MY,0.8591,1,0.5027,0.0217,0.8552808679734959,0.8533463642608812,0.8591375840212514,0.8591886215017955,0.7266940470071507,0.7070653508930033,0.6042301371830671,0.6120044615134684,10,10,1.0,available-robust,csr_tws_ols_2014_2024_cm_yr; csr_tws_theilsen_2014_2024_cm_yr; csr_tws_ols_2015_2024_cm_yr; csr_tws_theilsen_2015_2024_cm_yr; csr_tws_ols_2016_2024_cm_yr; csr_tws_theilsen_2016_2024_cm_yr; csr_tws_ols_2018_2024_cm_yr; csr_tws_theilsen_2018_2024_cm_yr; cpc_corrected_recent_gws_cm_yr; cpc_corrected_full_gws_cm_yr
Chengdu,CN,0.495,1,-0.1629,0.2594,0.4244844275228772,0.4139603268285091,0.49504257675053137,0.4615744529533372,0.4840933636267701,0.42368929146095846,-0.17084466129091438,-0.22645918806469606,10,7,0.7,available-probable,csr_tws_ols_2014_2024_cm_yr; csr_tws_theilsen_2014_2024_cm_yr; csr_tws_ols_2015_2024_cm_yr; csr_tws_theilsen_2015_2024_cm_yr; csr_tws_ols_2016_2024_cm_yr; csr_tws_theilsen_2016_2024_cm_yr; csr_tws_ols_2018_2024_cm_yr; csr_tws_theilsen_2018_2024_cm_yr; cpc_corrected_recent_gws_cm_yr; cpc_corrected_full_gws_cm_yr
Changzhi,CN,2.4451,1,1.3804,-2.423,1.5871691844131324,1.4289383623833583,2.445128037664538,2.3128443149614037,3.850427840691483,3.639349996058313,5.701803517453354,5.121067557002138,10,9,0.9,available-robust,csr_tws_ols_2014_2024_cm_yr; csr_tws_theilsen_2014_2024_cm_yr; csr_tws_ols_2015_2024_cm_yr; csr_tws_theilsen_2015_2024_cm_yr; csr_tws_ols_2016_2024_cm_yr; csr_tws_theilsen_2016_2024_cm_yr; csr_tws_ols_2018_2024_cm_yr; csr_tws_theilsen_2018_2024_cm_yr; cpc_corrected_recent_gws_cm_yr; cpc_corrected_full_gws_cm_yr
Taizhou,CN,0.1582,1,0.4909,-0.3222,0.2110638328516415,0.18705618666414958,0.15821262954016702,0.12682248273353502,0.24247826747280454,0.1798848318837998,0.5416619419342131,0.4176058865586538,10,9,0.9,available-robust,csr_tws_ols_2014_2024_cm_yr; csr_tws_theilsen_2014_2024_cm_yr; csr_tws_ols_2015_2024_cm_yr; csr_tws_theilsen_2015_2024_cm_yr; csr_tws_ols_2016_2024_cm_yr; csr_tws_theilsen_2016_2024_cm_yr; csr_tws_ols_2018_2024_cm_yr; csr_tws_theilsen_2018_2024_cm_yr; cpc_corrected_recent_gws_cm_yr; cpc_corrected_full_gws_cm_yr
Gazipur,BD,0.0607,1,-0.9281,-1.0995,0.14745629528165408,0.04820493092594633,0.060687477478143,-0.08714371369689572,0.029311822931050394,-0.27804389737595037,-1.3142954590192593,-1.3551155681130236,10,4,0.4,available-sensitive,csr_tws_ols_2014_2024_cm_yr; csr_tws_theilsen_2014_2024_cm_yr; csr_tws_ols_2015_2024_cm_yr; csr_tws_theilsen_2015_2024_cm_yr; csr_tws_ols_2016_2024_cm_yr; csr_tws_theilsen_2016_2024_cm_yr; csr_tws_ols_2018_2024_cm_yr; csr_tws_theilsen_2018_2024_cm_yr; cpc_corrected_recent_gws_cm_yr; cpc_corrected_full_gws_cm_yr
