name,country,lat,lon,population,elev_m,pga_475_g,seismic,vs30,precip,wtd,dw_km,pgv,grace_trend_cm_yr,grace_se,grace_p,dTWS_cm_total,P_liq_base,P_liq_new,dP_liq,dwtd_m,wtd_new,LSE_base,LSE_new,pop_x_dP
Luzhou,CN,28.8903,105.42575,998900,256,0.1971011047434862,True,260.203125,1130.0,1.586938277256479,0.8434698243891883,19.710110474348618,0.7136,0.0613,0.0,15.64,0.3810304064247856,0.3933873328920521,0.012356926467266494,-1.564,0.02293827725647901,9.368610641881315,10.610135451207267,12343.3338481525
Yokohama,JP,35.43333,139.65,3777491,21,0.6621291,True,246.6999969482422,1671.0,2.6398107881285,1.834036104265288,66.21291000000001,0.5728,0.0424,0.0,12.55,0.5189420934283357,0.5293652054100179,0.01042311198168211,-1.255,1.3848107881285001,26.39448168570025,27.727978913052663,39373.21170279633
Surabaya,ID,-7.24917,112.75083,2874314,8,0.1756715000089241,True,203.4541473388672,1663.0,2.3346303501945727,3.964466797522865,17.567150000892408,0.4229,0.0755,0.0,9.27,0.39425643036497254,0.4016520899806258,0.0073956596156532495,-0.9269999999999998,1.4076303501945728,10.700846192460133,11.490108053787386,21257.447972506754
Dar es Salaam,TZ,-6.82349,39.26951,5383728,24,0.109765000000553,True,261.65869140625,1066.0,8.361943999389666,1.4221015900347755,10.9765000000553,0.5172,0.0497,0.0,11.34,0.2553153425850038,0.2625611366099335,0.007245794024929697,-1.134,7.227943999389666,1.9012456561908,2.113819695530164,39009.384174246705
Haikou,CN,20.03421,110.34651,2873358,9,0.0606846,True,320.0976867675781,1697.0,1.4190890363927906,2.162402121684889,6.06846,0.5333,0.0799,0.0,11.69,0.22536624203154929,0.2322346577753918,0.006868415743842504,-1.1689999999999998,0.2500890363927908,1.2095682734100415,1.344308319566091,19735.41732489581
Tokyo,JP,35.6895,139.69171,9733276,44,0.605276,True,253.3000030517578,1432.0,5.432211795223964,7.757012464687056,60.52760000000001,0.5728,0.0424,0.0,12.55,0.190982890999505,0.19752354587707263,0.0065406548775676365,-1.255,4.177211795223964,0.7023483073340311,0.7802418472624698,63661.999144112015
Manila,PH,14.6042,120.9822,1600000,13,0.3303762000045073,True,222.3428497314453,2258.0,2.838178072785581,2.868634674256883,33.03762000045073,0.3439,0.0445,0.0,7.54,0.5352704588103365,0.5415104202925807,0.00623996148224415,-0.7539999999999999,2.084178072785581,28.469723246185126,29.241232738959834,9983.938371590639
Nanchong,CN,30.79508,106.08473,1858875,287,0.0702872509812431,True,285.2292175292969,1090.0,21.637293049515563,1.6133376582818284,7.028725098124309,0.7102,0.0558,0.0,15.56,0.13550419512687714,0.1416893572418032,0.006185162114926063,-1.556,20.081293049515562,0.28009890562375767,0.3109804969003292,11497.443226383184
Jing’an,CN,31.22,121.41583,936500,32,0.0507968402419307,True,226.0771942138672,1049.0,4.104676890211351,0.870828709193776,5.07968402419307,0.3939,0.0532,0.0,8.63,0.30966996056815854,0.3158467500868667,0.006176789518708148,-0.863,3.2416768902113513,4.0540741783077525,4.391912120914466,5784.563384270181
Bhayandar,IN,19.30157,72.85107,809378,9,0.1212539,True,243.01022338867188,2495.0,2.9297322041657594,2.301836643909409,12.12539,0.3283,0.0973,0.00087,7.19,0.469437365737197,0.47540475805410776,0.005967392316910736,-0.719,2.2107322041657596,19.840464043572513,20.633584660678252,4829.8760586765775
Zhabei,CN,31.25861,121.45972,840000,10,0.0543976236497186,True,224.72799682617188,1049.0,3.0365453574426056,1.8840728118856176,5.43976236497186,0.3939,0.0532,0.0,8.63,0.2809287858449564,0.28677044085600245,0.005841655011046054,-0.863,2.1735453574426056,2.7470929933309973,2.9795841929932427,4906.990209278685
Surat,IN,21.19594,72.83023,4591246,20,0.09830952,True,225.83724975585935,1070.0,8.25513084611282,2.0088310183989053,9.830952,0.3929,0.1077,0.00032,8.61,0.2809631242668905,0.2867915858148414,0.005828461547950858,-0.8609999999999999,7.39413084611282,2.748413564430811,2.980454805758826,26759.900768183186
Santo Domingo,DO,18.47186,-69.89232,2201941,24,0.4312265999999539,True,390.5118103027344,1644.0,3.8147554741741487,0.9185420873771836,43.12265999999539,0.363,0.0323,0.0,7.96,0.3070350909936708,0.3127034593584319,0.005668368364761089,-0.796,3.0187554741741485,3.916416777422323,4.217312409927145,12481.412705470399
Mumbai,IN,19.07283,72.88261,12691836,8,0.120297400125448,True,232.39059448242188,2274.0,1.8768596932936816,4.7052142468930125,12.0297400125448,0.3283,0.0973,0.00087,7.19,0.35036063504717974,0.35582951906019733,0.005468884013017594,-0.719,1.1578596932936818,6.695827859554299,7.128791753801898,69410.17899624117
Nashik,IN,19.99727,73.79096,1486053,584,0.07369488,True,408.8996276855469,1330.0,4.516670481422182,2.7022359147238024,7.369488,0.7046,0.126,0.0,15.44,0.11386043759947732,0.11915192651653192,0.005291488917054596,-1.5439999999999998,2.972670481422182,0.19359433896385764,0.2119881350693818,7863.432979655733
Putuo,CN,31.251,121.3897,1239100,10,0.0503584899999993,True,217.3177490234375,1049.0,2.1972991531243338,3.3595569007410666,5.03584899999993,0.3939,0.0532,0.0,8.63,0.23569380193435863,0.24090997241864848,0.00521617048428985,-0.863,1.3342991531243338,1.4171669894662176,1.5337431131401988,6463.3568470835535
Makassar,ID,-5.14861,119.43194,1423877,6,0.06073681,True,202.31625366210935,2840.0,0.6408789196613043,4.150668720810128,6.0736810000000006,0.2738,0.0397,0.0,6.0,0.47034726176738023,0.47532747856886987,0.004980216801489634,-0.6,0.0408789196613043,19.96117507601157,20.623294401020036,7091.216158654656
Yangjiang,CN,21.85563,111.96272,1292987,15,0.1137957653696654,True,314.6648864746094,2205.0,1.0986495765621953,1.542818629129887,11.37957653696654,0.2851,0.0501,0.0,6.25,0.35912111542239994,0.3639250896931847,0.004803974270784772,-0.625,0.4736495765621953,7.398545724424769,7.804605928638684,6211.47628045919
Bhiwandi,IN,19.30023,73.05881,874032,9,0.125094701840259,True,325.197265625,2807.0,3.2349126420996868,5.510253283387274,12.5094701840259,0.3283,0.0973,0.00087,7.19,0.23663864969112508,0.24099091380027826,0.004352264109153181,-0.719,2.515912642099687,1.4376752767520242,1.5356177053449855,3804.0181038513733
Nagoya,JP,35.18147,136.90641,2332176,23,0.4578695,True,156.6999969482422,1974.0,12.802319371328338,10.286121018355862,45.78695,0.3077,0.0339,0.0,6.74,0.2520813183052804,0.2563363632244263,0.004255044919145912,-0.6739999999999999,12.128319371328338,1.8125789974904851,1.930018955217064,9923.513639354036
Thāne,IN,19.19704,72.96355,1841488,23,0.1226549788237301,True,373.1346740722656,2495.0,2.0904859998474308,3.79749948385862,12.26549788237301,0.3283,0.0973,0.00087,7.19,0.22787742868701172,0.23211755347996083,0.004240124792949107,-0.719,1.371485999847431,1.2573447549854335,1.341901898809684,7808.138924718265
New Taipei City,TW,25.06199,121.45703,4004367,4,0.3321715041340599,True,189.5024871826172,2693.0,0.5188067444877333,8.201788204387995,33.21715041340599,0.2414,0.0285,0.0,5.29,0.4174407368464747,0.42164794358513435,0.004207206738659652,-0.529,0.0,13.272982936198389,13.768760680693132,16847.199826466334
Dombivali,IN,19.21667,73.08333,1247327,11,0.1242170029365362,True,411.0974426269531,2807.0,3.8452735179675415,3.538018292708381,12.42170029365362,0.3283,0.0973,0.00087,7.19,0.2247228330713731,0.22892166307423023,0.004198830002857118,-0.719,3.1262735179675416,1.1975949664293697,1.2777097305489593,5237.31403097376
Kaohsiung,TW,22.61626,120.31333,2737660,9,0.3681412361152513,True,209.50657653808597,1990.0,1.1596856641489808,2.8664741308134767,36.814123611525126,0.2291,0.028,0.0,5.02,0.550557823687945,0.5546906553706791,0.0041328316827340394,-0.5019999999999999,0.6576856641489809,30.33520343013538,30.824486960658117,11314.28798455367
