station,location,aquifer_type,n_years,start_year,end_year,start_level_tp_m,end_level_tp_m,change_m,ols_slope_m_per_year,p_value,r_squared,direction,source_url
吾嬬Ｂ,墨田区立花5丁目,被圧地下水,10,2015,2024,-6.09,-4.41,1.6799999999999997,0.2135151515151515,1.3460218615831657e-05,0.9169560337176618,rise,https://www.env.go.jp/content/000386723.xlsx
新宿,新宿区百人町３丁目,被圧地下水,10,2015,2024,10.13,12.13,2.0,0.2778181818181818,0.00023309616730115266,0.8321953598054154,rise,https://www.env.go.jp/content/000386723.xlsx
東久留米第3,東久留米市神宝町1丁目,被圧地下水,10,2015,2024,17.02,25.03,8.010000000000002,0.9376969696969699,1.4272458256099694e-08,0.984907871576222,rise,https://www.env.go.jp/content/000386723.xlsx
調布第３,調布市調布ヶ丘３丁目,被圧地下水,10,2015,2024,11.59,22.6,11.010000000000002,1.3,9.080172622637819e-05,0.8669013968910555,rise,https://www.env.go.jp/content/000386723.xlsx
