name,country,lat,lon,population,P0,pga_475_g,wtd,recent_trend_cm_yr,dP,dP_lo,dP_hi,fdr_sig,is_material_screening_unit,direction,recent_cumulative_dTWS_cm,recent_cumulative_water_table_rise_m_sy010,annualized_dP_per_year,liquefaction_sensitivity_per_m_rise,water_table_rise_followup_flag_m_for_plus0p01,followup_flag_reachable_before_surface,years_to_followup_flag_at_recent_rise_sy010,linearized_dP_sy010,distance_to_coast_km,metro_cluster_50km,grace_scale_cluster_300km
Tainan,TW,22.99083,120.21333,1856642,0.4951055488073359,0.6576578501474174,4.486152437628789,0.1935,0.001610778367505,0.0003473925302693,0.0031410837688323,True,False,sub-material increase,1.935,0.1934999999999999,0.0001610778367505,0.0083242022767725,1.2012412971826938,True,62.07965360117281,0.0016107331405554,5.071396979016769,55,8
Sakai,JP,34.58216,135.46653,826161,0.5145080846281008,0.3961307725316076,5.684341886080804e-14,0.3534,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,True,False,sub-material increase,3.534,0.3533999999999999,4.440892098500626e-17,0.0083179908654981,1.2030729408648495,False,34.04281100353282,0.002939577971867,4.702428708779064,148,1
Yokohama,JP,35.43333,139.65,3777491,0.5189420934283357,0.6621291,2.6398107881285,1.5877,0.0131823600667306,0.0052217653273863,0.0218943302879452,True,True,material increase,15.877,1.5877,0.001318236006673,0.0083130518633151,1.2040023560653168,True,7.583311432042055,0.0131986324433855,1.834036104265288,1,1
Makassar,ID,-5.14861,119.43194,1423877,0.4703472617673802,0.06073681,0.6408789196613043,0.6312,0.005239330970689,0.0017247287311472,0.0053197165084566,True,False,sub-material increase,6.311999999999999,0.6311999999999999,0.0005239330970689,0.0082957198133397,1.2041691037840367,False,19.07745728428449,0.00523625834618,4.150668720810128,14,7
Bhayandar,IN,19.30157,72.85107,809378,0.469437365737197,0.1212539,2.9297322041657594,1.4173,0.0117697302764608,0.0038161602561318,0.0205713226468663,True,True,material increase,14.173,1.4172999999999998,0.001176973027646,0.0082938953153843,1.2043897952003295,True,8.497776019193747,0.0117549378304942,2.301836643909409,2,2
Caloocan,PH,14.64953,120.96788,1712945,0.5268838785496096,0.3198267016083664,0.091554131380235,0.4215,0.0007599218058339,0.0007599218058339,0.0007599218058339,True,False,sub-material increase,4.215,0.4215,7.599218058339e-05,0.0083009326605685,1.2061466503599283,False,28.615578893473987,0.0034988431164296,2.699549179196848,30,11
Taipei,TW,25.05306,121.52639,7871900,0.4608737629638713,0.3369818386905979,0.2288853284504739,0.0507,0.0004195205423698,-0.0009367516973735,0.0018943580637169,False,False,sub-material increase,0.507,0.0506999999999999,4.195205423698e-05,0.0082740222812605,1.206864240930907,False,238.04028420727943,0.0004194929296599,12.4933029549212,96,8
Dhaka,BD,23.7104,90.40744,10356500,0.4583674750582135,0.1949473000000002,0.4882887006943406,0.0607,0.000501866092094,-0.0083603291251546,0.0040394659854371,False,False,sub-material increase,0.607,0.0607,5.01866092094e-05,0.0082672822044701,1.207725116591858,False,198.96624655549556,0.0005018240298113,15.813506522357867,92,2
Yangon,MM,16.80528,96.15611,4477638,0.4572328805930004,0.2417016573252616,1.4038300144961229,0.949,0.0078525840287735,0.0005517502052593,0.0116225022491796,True,False,sub-material increase,9.49,0.949,0.0007852584028773,0.0082640934174709,1.2081353187948078,True,12.73061452892316,0.0078426246531799,4.078001626900382,6,4
Manila,PH,14.6042,120.9822,1600000,0.5352704588103365,0.3303762000045073,2.838178072785581,0.4215,0.0034897418002498,0.0006980618544253,0.0063995104776926,True,False,sub-material increase,4.215,0.4215,0.0003489741800249,0.0082835746246857,1.2090857026284592,True,28.68530729842133,0.003491526704305,2.868634674256883,30,11
