city_row_id,name,country,is_material_hotspot,dP,fdr_sig,lat,lon,csr_recent_tws_cm_yr,gsfc_recent_tws_cm_yr,gsfc_recent_p,gsfc_recent_se_cm_yr,gsfc_recent_theilsen_cm_yr,gsfc_recent_n_months,gsfc_full_tws_cm_yr,gsfc_full_p,gsfc_full_theilsen_cm_yr,gsfc_full_n_months,gsfc_recent_dP,csr_sign,gsfc_recent_sign,gsfc_theilsen_sign,csr_gsfc_recent_sign_match,csr_gsfc_theilsen_sign_match,ghsl_matched,ghsl_match_method,ghsl_uc_id,ghsl_uc_name,distance_to_ghsl_centroid_km,hotspot_product_grade
0,Yokohama,JP,True,0.0131823600667306,True,35.43333,139.65,1.5877,0.7130774726653594,1.181408486225269e-19,0.0625848832534611,0.746987917963574,100,1.1749968957986312,2.1833322051597583e-115,1.1652022913154951,233,0.0059249066615524315,1,1,1,True,True,True,within_polygon,5929.0,Tokyo,0.0,csr-gsfc-ghsl-robust
1,Bhayandar,IN,True,0.0117697302764608,True,19.30157,72.85107,1.4173,0.2837348328372097,0.1769458241940963,0.2086263260107914,0.3042508707787721,100,0.37298822702328255,5.547404815297682e-10,0.3811779354776219,233,0.002353929226558471,1,1,1,True,True,True,within_polygon,7599.0,Mumbai,0.0,csr-gsfc-ghsl-robust
2,Mumbai,IN,True,0.0108165938122896,True,19.07283,72.88261,1.4173,0.2837348328372097,0.1769458241940963,0.2086263260107914,0.3042508707787721,100,0.37298822702328255,5.547404815297682e-10,0.3811779354776219,233,0.002153553932192964,1,1,1,True,True,True,within_polygon,7599.0,Mumbai,0.0,csr-gsfc-ghsl-robust
3,Dar es Salaam,TZ,False,0.0099400650158641,True,-6.82349,39.26951,1.5505,3.967486717124902,1.6468653985458408e-11,0.5208488649514028,3.670694269554173,100,1.5751080507031263,1.5337208931713847e-26,1.2044865794739041,233,0.025919600609530913,1,1,1,True,True,True,within_polygon,3570.0,Dar es-Salaam,0.0,not-material-hotspot
4,Surat,IN,False,0.0096221809737705,True,21.19594,72.83023,1.4158,3.575809735817568,7.046893112614771e-06,0.7532906140543961,3.454402872721601,100,0.8850384069806748,8.310835870141334e-05,0.8923457423981322,233,0.02467005697945507,1,1,1,True,True,True,within_polygon,6913.0,Surat,0.0,not-material-hotspot
5,Nashik,IN,False,0.009150408807873,True,19.99727,73.79096,2.633,2.2284598145378687,2.0174731563478643e-06,0.44100930713336617,2.144055859631049,100,0.5323485621241071,2.914782425625035e-05,0.4994787581216511,233,0.0077045129359995385,1,1,1,True,True,True,within_polygon,8012.0,Nashik,0.0,not-material-hotspot
6,Bhiwandi,IN,False,0.0086312201636333,True,19.30023,73.05881,1.4173,3.912291789740759,1.38441123198012e-07,0.6888709846092069,3.676095366591918,100,1.0245989955099621,2.4743742940303356e-07,0.9632581033644543,233,0.020007359412766657,1,1,1,True,True,True,within_polygon,7599.0,Mumbai,0.0,not-material-hotspot
7,Thāne,IN,False,0.0084105762061177,True,19.19704,72.96355,1.4173,0.2837348328372097,0.1769458241940963,0.2086263260107914,0.3042508707787721,100,0.37298822702328255,5.547404815297682e-10,0.3811779354776219,233,0.0016667070301993048,1,1,1,True,True,True,within_polygon,7599.0,Mumbai,0.0,not-material-hotspot
8,Dombivali,IN,False,0.0083292880236759,True,19.21667,73.08333,1.4173,3.912291789740759,1.38441123198012e-07,0.6888709846092069,3.676095366591918,100,1.0245989955099621,2.4743742940303356e-07,0.9632581033644543,233,0.023091160746711692,1,1,1,True,True,True,within_polygon,7739.0,Kalyan-Dombivli,0.0,not-material-hotspot
9,Tokyo,JP,False,0.0083026372584477,True,35.6895,139.69171,1.5877,1.1174721406074692,5.2239014463794846e-05,0.26406352191284554,1.0072191000707384,100,3.150347113732589,1.7857545716416165e-81,3.107802580136303,233,0.00581574479097291,1,1,1,True,True,True,within_polygon,5929.0,Tokyo,0.0,not-material-hotspot
10,Yangon,MM,False,0.0078525840287735,True,16.80528,96.15611,0.949,2.1062391280177897,0.028564457306214732,0.947786176846938,2.0753275550032395,100,-0.29255083951256194,0.31716663053306465,-0.28058050172475035,233,0.011622502249179656,1,1,1,True,True,True,within_polygon,5029.0,Yangon,0.0,not-material-hotspot
11,Tianjin,CN,False,0.0073736357294239,True,39.14222,117.17667,1.0174,0.7063057603578563,0.00019411897581731656,0.18236623303983723,0.7392123916770061,100,-0.77113706248231,1.3797973274386346e-36,-0.8382942529751519,233,0.0051094509031917035,1,1,1,True,True,True,within_polygon,9127.0,Tianjin,0.0,not-material-hotspot
12,Varanasi,IN,False,0.0064547441040125,True,25.31668,83.01041,1.7399,0.5709044309437042,0.2653798474160965,0.5096595901372656,0.6325446799913432,100,-0.5538370320705851,0.00010657390487137715,-0.6033744341989298,233,0.0020873154640652924,1,1,1,True,True,True,within_polygon,10008.0,Varanasi,0.0,not-material-hotspot
13,Chattogram,BD,False,0.0063066447842901,False,22.3384,91.83168,0.7765,0.49854158159913536,0.31377436982288687,0.49236834319154144,0.7616463618201545,100,0.35493443273462355,0.005600219590950687,0.41925686796648576,233,0.004052034964144746,1,1,1,True,True,True,within_polygon,7439.0,Chattogram,0.0,not-material-hotspot
14,Patna,IN,False,0.0060981198108892,True,25.59408,85.13563,1.3047,0.01691315706326672,0.9765201016493106,0.5731878757727463,-0.0971809844250765,100,-1.1834702143899989,1.6316441504363403e-12,-1.2434809613951852,233,7.793093024371922e-05,1,1,-1,True,False,True,within_polygon,10586.0,Patna,0.0,not-material-hotspot
