package_id,package_title,resource_name,resource_format,resource_url,selected_for_download,source_page
532f5e85-c36d-47e7-bca9-ade5aafda15c,地盤沈下調査報告　平成28年　地盤沈下調査報告書,表－1(1)　観測井一覧表（区部）,CSV,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000030080,catalogued,https://catalog.data.metro.tokyo.lg.jp/dataset/t000014d1700000013
532f5e85-c36d-47e7-bca9-ade5aafda15c,地盤沈下調査報告　平成28年　地盤沈下調査報告書,表－1(2)　観測井一覧表（多摩地域）,CSV,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000030081,catalogued,https://catalog.data.metro.tokyo.lg.jp/dataset/t000014d1700000013
532f5e85-c36d-47e7-bca9-ade5aafda15c,地盤沈下調査報告　平成28年　地盤沈下調査報告書,表－2　地域別の地盤沈下面積,CSV,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000030082,catalogued,https://catalog.data.metro.tokyo.lg.jp/dataset/t000014d1700000013
532f5e85-c36d-47e7-bca9-ade5aafda15c,地盤沈下調査報告　平成28年　地盤沈下調査報告書,表－3 各地域の最大沈下量と最大隆起量,CSV,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000030084,catalogued,https://catalog.data.metro.tokyo.lg.jp/dataset/t000014d1700000013
532f5e85-c36d-47e7-bca9-ade5aafda15c,地盤沈下調査報告　平成28年　地盤沈下調査報告書,表－4(1)　観測井による地層別変動量（区部）,CSV,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000030085,catalogued,https://catalog.data.metro.tokyo.lg.jp/dataset/t000014d1700000013
532f5e85-c36d-47e7-bca9-ade5aafda15c,地盤沈下調査報告　平成28年　地盤沈下調査報告書,表－4(2)　観測井による地層別変動量（多摩地域）,CSV,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000030086,catalogued,https://catalog.data.metro.tokyo.lg.jp/dataset/t000014d1700000013
532f5e85-c36d-47e7-bca9-ade5aafda15c,地盤沈下調査報告　平成28年　地盤沈下調査報告書,表－5(1) 観測井の地下水位と変動量（区部）,CSV,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000030088,observed_groundwater_table,https://catalog.data.metro.tokyo.lg.jp/dataset/t000014d1700000013
532f5e85-c36d-47e7-bca9-ade5aafda15c,地盤沈下調査報告　平成28年　地盤沈下調査報告書,表－5(2) 観測井の地下水位と変動量（多摩地域）,CSV,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000030089,observed_groundwater_table,https://catalog.data.metro.tokyo.lg.jp/dataset/t000014d1700000013
532f5e85-c36d-47e7-bca9-ade5aafda15c,地盤沈下調査報告　平成28年　地盤沈下調査報告書,表－6　地下水揚水量の推移,CSV,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000030090,catalogued,https://catalog.data.metro.tokyo.lg.jp/dataset/t000014d1700000013
532f5e85-c36d-47e7-bca9-ade5aafda15c,地盤沈下調査報告　平成28年　地盤沈下調査報告書,表－8 各年の最大沈下量とその地点,CSV,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000030091,catalogued,https://catalog.data.metro.tokyo.lg.jp/dataset/t000014d1700000013
532f5e85-c36d-47e7-bca9-ade5aafda15c,地盤沈下調査報告　平成28年　地盤沈下調査報告書,表－9　沈下の中心地の面積,CSV,https://www.kensetsu.metro.tokyo.lg.jp/documents/d/kensetsu/000030092,catalogued,https://catalog.data.metro.tokyo.lg.jp/dataset/t000014d1700000013
