grace_scale_cluster_300km,inference_unit,exposure_unit,n_point_city_units,n_metro_clusters_50km,n_countries,n_increase_side,n_depletion_side,dominant_direction,direction_coherence_fraction,n_material_units,material_fraction_within_group,population_million_sum,mean_abs_delta_p,max_abs_delta_p,representative_names,safe_interpretation
2,300-km regional storage group,city point / metropolitan marker,17,11,2,12,5,increase-side,0.7058823529411765,5,0.29411764705882354,59.827041,0.0091208481564769,0.0153533212038833,Lahore; Mumbai; Delhi; Surat; Kanpur; Thāne; Patna; Ludhiana,"regional follow-up group; city names are exposure locators, not independent hydrological discoveries"
1,300-km regional storage group,city point / metropolitan marker,2,1,1,2,0,increase-side,1.0,1,0.5,13.510767,0.0107424986625891,0.0131823600667306,Tokyo; Yokohama,"regional follow-up group; city names are exposure locators, not independent hydrological discoveries"
5,300-km regional storage group,city point / metropolitan marker,2,2,1,2,0,increase-side,1.0,0,0.0,12.089214,0.0061889242770492,0.0073736357294239,Tianjin; Luzhou,"regional follow-up group; city names are exposure locators, not independent hydrological discoveries"
3,300-km regional storage group,city point / metropolitan marker,1,1,1,1,0,increase-side,1.0,0,0.0,5.383728,0.0099400650158641,0.0099400650158641,Dar es Salaam,"regional follow-up group; city names are exposure locators, not independent hydrological discoveries"
81,300-km regional storage group,city point / metropolitan marker,1,1,1,0,1,depletion-side,1.0,0,0.0,0.780995,0.0067245943704312,0.0067245943704312,Seattle,"regional follow-up group; city names are exposure locators, not independent hydrological discoveries"
64,300-km regional storage group,city point / metropolitan marker,1,1,1,0,1,depletion-side,1.0,0,0.0,1.692181,0.006715498408346,0.006715498408346,Puebla,"regional follow-up group; city names are exposure locators, not independent hydrological discoveries"
71,300-km regional storage group,city point / metropolitan marker,1,1,1,0,1,depletion-side,1.0,0,0.0,0.847287,0.0058121023331525,0.0058121023331525,Turin,"regional follow-up group; city names are exposure locators, not independent hydrological discoveries"
6,300-km regional storage group,city point / metropolitan marker,1,1,1,1,0,increase-side,1.0,0,0.0,0.815141,0.0055937627238466,0.0055937627238466,Barcelona,"regional follow-up group; city names are exposure locators, not independent hydrological discoveries"
28,300-km regional storage group,city point / metropolitan marker,1,1,1,0,1,depletion-side,1.0,0,0.0,1.833684,0.0055730278091667,0.0055730278091667,Diyarbakır,"regional follow-up group; city names are exposure locators, not independent hydrological discoveries"
7,300-km regional storage group,city point / metropolitan marker,1,1,1,1,0,increase-side,1.0,0,0.0,1.423877,0.005239330970689,0.005239330970689,Makassar,"regional follow-up group; city names are exposure locators, not independent hydrological discoveries"
