event_key,event_title,n_observed_liquefaction,n_controls,control_design,static_auc,dynamic_auc_sy010,delta_auc_dynamic_minus_static,static_brier,dynamic_brier_sy010,delta_brier_dynamic_minus_static,median_positive_storage_anomaly_cm,median_control_storage_anomaly_cm,median_positive_delta_p,median_control_delta_p
tohoku_2011,"2011 Tohoku, Japan M9.1",166,166,pseudo-controls outside buffered inventory; hard cells from upper static-probability background,0.7472056902308027,0.7458992596893599,-0.00130643054144286,0.34629175040482474,0.34630911170357787,1.7361298753126864e-05,0.3778153955936432,3.240011711915334,4.2677026989429434e-05,0.000240938653373538
wenchuan_2008,"2008 Wenchuan, China M7.9",116,116,pseudo-controls outside buffered inventory; hard cells from upper static-probability background,0.9376486325802618,0.9351218787158144,-0.0025267538644473397,0.45590403968028365,0.456276115775254,0.00037207609497036387,-3.222099522749583,-0.11688049634297681,-0.0001801721698828588,-1.015135528510062e-07
nepal_2015,"2015 Gorkha, Nepal M7.8",12,40,pseudo-controls outside buffered inventory; hard cells from upper static-probability background,0.7937500000000001,0.79375,-1.1102230246251565e-16,0.21420917691651253,0.2147402918549885,0.0005311149384759628,-13.455553531646729,-13.609934449195862,-0.00031349624222139693,-1.2127208673989398e-05
puerto_rico_2020,2020 Puerto Rico M6.4,32,81,published_nullpoints,0.2689043209876544,0.26967592592592593,0.0007716049382715529,0.2795664268976445,0.2795567677100814,-9.65918756307138e-06,-0.41331704457600926,-0.41331704457600926,-1.2715957655524057e-06,-8.315179713397347e-05
