name,country,lat,lon,population,pga,wtd,tws_cm_yr,reversal,dP,dP_lo,dP_hi,p_two,ci_excl0,fdr_sig
Yokohama,JP,35.43333,139.65,3777491,0.6621291,2.6398107881285,1.5877,False,0.01318236006673068,0.005221765327386396,0.021894330287945296,0.0,True,True
Bhayandar,IN,19.30157,72.85107,809378,0.1212539,2.9297322041657594,1.4173,False,0.011769730276460832,0.0038161602561318482,0.020571322646866355,0.0,True,True
Mumbai,IN,19.07283,72.88261,12691836,0.120297400125448,1.8768596932936816,1.4173,False,0.01081659381228961,0.003572497476138428,0.01435495399970016,0.0,True,True
Dar es Salaam,TZ,-6.82349,39.26951,5383728,0.109765000000553,8.361943999389666,1.5505,False,0.009940065015864141,0.0038461988486549305,0.01673799414060863,0.0,True,True
Surat,IN,21.19594,72.83023,4591246,0.09830952,8.25513084611282,1.4158,False,0.009622180973770544,0.0028024831768068857,0.01675405888401187,0.0009999999999998899,True,True
Nashik,IN,19.99727,73.79096,1486053,0.07369488,4.516670481422182,2.633,False,0.009150408807873045,0.00330046929817968,0.016078828146274274,0.0,True,True
Bhiwandi,IN,19.30023,73.05881,874032,0.125094701840259,3.2349126420996868,1.4173,False,0.008631220163633352,0.0028146479064968576,0.015668200884864203,0.0,True,True
Thāne,IN,19.19704,72.96355,1841488,0.1226549788237301,2.0904859998474308,1.4173,False,0.008410576206117737,0.002678599387664629,0.01247976013037333,0.0,True,True
Dombivali,IN,19.21667,73.08333,1247327,0.1242170029365362,3.8452735179675415,1.4173,False,0.00832928802367594,0.0026620227838969625,0.014580549108342476,0.0,True,True
Tokyo,JP,35.6895,139.69171,9733276,0.605276,5.432211795223964,1.5877,False,0.008302637258447737,0.003248422716651238,0.01443481485663945,0.0,True,True
Yangon,MM,16.80528,96.15611,4477638,0.2417016573252616,1.4038300144961229,0.949,True,0.00785258402877359,0.0005517502052593742,0.011622502249179656,0.07050000000000001,True,True
Tianjin,CN,39.14222,117.17667,11090314,0.117718599999321,3.112840466926116,1.0174,True,0.007373635729423955,0.0027019944033238874,0.01235966661792302,0.0,True,True
Varanasi,IN,25.31668,83.01041,1164404,0.0641719299859855,26.092927443350906,1.7399,True,0.006454744104012505,0.0018980329960969766,0.01163781146845873,0.0004999999999999449,True,True
Chattogram,BD,22.3384,91.83168,3920222,0.2789350093955502,1.724269474326718,0.7765,True,0.006306644784290105,-0.0012531086229764453,0.01396830378443259,0.2004999999999999,False,False
Patna,IN,25.59408,85.13563,1684297,0.0921172673310556,4.257267109178315,1.3047,True,0.006098119810889285,0.0008643026428560479,0.012168989510116177,0.03049999999999997,True,True
Kanpur,IN,26.46523,80.34975,2823249,0.0874991899999999,13.42793926909286,1.095,True,0.005955810106998527,0.0009638181755430507,0.011674114516948214,0.026499999999999968,True,True
Barcelona,VE,10.1384,-64.68769,815141,0.1565541,5.95101853971164,0.9569,False,0.005593762723846651,0.0010259838369734708,0.010966213345218427,0.021500000000000075,True,True
Prayagraj,IN,25.44478,81.84322,1073438,0.0632544323089667,8.484016174563237,1.5299,True,0.005399910094125063,0.001561257533603206,0.010105117992501994,0.0020000000000000018,True,True
Kalyān,IN,19.2437,73.13554,1262255,0.1256955999999282,1.1749446860456487,1.4173,False,0.005381297964220544,0.0020564889245797374,0.005381297964220544,0.0004999999999999449,True,True
Makassar,ID,-5.14861,119.43194,1423877,0.06073681,0.6408789196613043,0.6312,False,0.005239330970689016,0.0017247287311472628,0.0053197165084566955,0.0,True,True
Howrah,IN,22.57688,88.31857,1027672,0.116651700000003,2.075226977950763,0.6662,True,0.005094755030667475,-0.0013186095983712563,0.012639774668197701,0.22249999999999992,False,False
Kolkata,IN,22.56263,88.36304,4631392,0.119528,2.059967956054038,0.6662,True,0.005092769645812678,-0.0013093987025666804,0.012576555745084764,0.2290000000000001,False,False
Luzhou,CN,28.8903,105.42575,998900,0.1971011047434862,1.586938277256479,0.6356,False,0.00500421282467467,0.001002839819391091,0.009770131621006903,0.016999999999999904,True,True
Ranchi,IN,23.34316,85.3094,1120374,0.1272203,3.2806897077897474,1.1405,True,0.004955914891752039,0.0007176902001159793,0.00956651097935537,0.03249999999999997,True,True
Ciudad Guayana,VE,8.35122,-62.64102,978202,0.0609216311130317,24.00244144350347,3.2946,False,0.004915952855939008,0.0017313225857529784,0.008613069384460145,0.0,True,True
Haikou,CN,20.03421,110.34651,2873358,0.0606846,1.4190890363927906,0.8239,False,0.004825710787500159,0.0010604850959056334,0.008356616221411928,0.008000000000000007,True,True
Jing’an,CN,31.22,121.41583,936500,0.0507968402419307,4.104676890211351,0.6576,False,0.004700654421369244,0.00136151479212826,0.008601901560693806,0.0004999999999999449,True,True
Vijayawada,IN,16.50745,80.6466,1143232,0.06847776,5.859464408331462,2.3443,False,0.004590270892386367,0.001628481556334272,0.007835620597643176,0.0,True,True
Zhabei,CN,31.25861,121.45972,840000,0.0543976236497186,3.0365453574426056,0.6576,False,0.004444727843076202,0.0012136954300911579,0.007869059110345938,0.0015000000000000568,True,True
Kaifeng,CN,34.7986,114.30742,1451741,0.0997951691928758,1.7700465400168357,2.2778,True,0.004396939206460337,0.0018921885863275464,0.004396939206460337,0.0,True,True
