name,country,dP,dP_lo,dP_hi,p_two,p_two_zero_aware,zero_exact_dP,fdr_sig,fdr_bh_zero_aware,fdr_by_zero_aware,material_bh_zero_aware,material_by_zero_aware
Yokohama,JP,0.0131823600667306,0.0052217653273863,0.0218943302879452,0.0,0.00024993751562109475,False,True,True,True,True,True
Bhayandar,IN,0.0117697302764608,0.0038161602561318,0.0205713226468663,0.0,0.00024993751562109475,False,True,True,True,True,True
Mumbai,IN,0.0108165938122896,0.0035724974761384,0.0143549539997001,0.0,0.00024993751562109475,False,True,True,True,True,True
Dar es Salaam,TZ,0.0099400650158641,0.0038461988486549,0.0167379941406086,0.0,0.00024993751562109475,False,True,True,True,False,False
Surat,IN,0.0096221809737705,0.0028024831768068,0.0167540588840118,0.0009999999999998,0.0009999999999998,False,True,True,True,False,False
Nashik,IN,0.009150408807873,0.0033004692981796,0.0160788281462742,0.0,0.00024993751562109475,False,True,True,True,False,False
Bhiwandi,IN,0.0086312201636333,0.0028146479064968,0.0156682008848642,0.0,0.00024993751562109475,False,True,True,True,False,False
Thāne,IN,0.0084105762061177,0.0026785993876646,0.0124797601303733,0.0,0.00024993751562109475,False,True,True,True,False,False
Dombivali,IN,0.0083292880236759,0.0026620227838969,0.0145805491083424,0.0,0.00024993751562109475,False,True,True,True,False,False
Tokyo,JP,0.0083026372584477,0.0032484227166512,0.0144348148566394,0.0,0.00024993751562109475,False,True,True,True,False,False
Yangon,MM,0.0078525840287735,0.0005517502052593,0.0116225022491796,0.0705,0.0705,False,True,False,False,False,False
Tianjin,CN,0.0073736357294239,0.0027019944033238,0.012359666617923,0.0,0.00024993751562109475,False,True,True,True,False,False
Varanasi,IN,0.0064547441040125,0.0018980329960969,0.0116378114684587,0.0004999999999999,0.0004999999999999,False,True,True,True,False,False
Chattogram,BD,0.0063066447842901,-0.0012531086229764,0.0139683037844325,0.2004999999999999,0.2004999999999999,False,False,False,False,False,False
Patna,IN,0.0060981198108892,0.000864302642856,0.0121689895101161,0.0304999999999999,0.0304999999999999,False,True,True,False,False,False
Kanpur,IN,0.0059558101069985,0.000963818175543,0.0116741145169482,0.0264999999999999,0.0264999999999999,False,True,True,False,False,False
