name,country,aquifer_context_class,sy_low,sy_mid,sy_high,dP_sy_low,dP_sy_mid,dP_sy_high,material_at_sy_low,material_at_sy_mid,material_at_sy_high,sy_material_threshold_0p03_0p25,gfz_dP_sy010,gfz_leakage_corrected_dP_sy010,class_prior_use
Yokohama,JP,coastal mixed/delta-reclaimed review,0.06,0.12,0.18,0.021894330287945296,0.010987912867872929,0.007327969638177501,True,True,False,0.13186851271525948,0.0087334801045525,0.0081948260870579,review-prior only; replace with local hydrogeology before engineering use
Bhayandar,IN,coastal mixed/delta-reclaimed review,0.06,0.12,0.18,0.01962863164894163,0.009806304960102319,0.006535383757692026,True,False,False,0.1176778486207835,0.018061096994636,0.0199370523763154,review-prior only; replace with local hydrogeology before engineering use
Mumbai,IN,coastal mixed/delta-reclaimed review,0.06,0.12,0.18,0.01435495399970016,0.00900367105635197,0.005991057720597326,True,False,False,0.10811117529808202,0.0143549539997001,0.0143549539997001,review-prior only; replace with local hydrogeology before engineering use
Delhi,IN,alluvial/basin-fill depletion,0.08,0.14,0.22,-0.014130013623379206,-0.008185677418473786,-0.0052435873080941275,True,False,False,0.11412711522083271,-0.0188926370059895,-0.0284729740965488,review-prior only; replace with local hydrogeology before engineering use
Lahore,PK,alluvial/basin-fill depletion,0.08,0.14,0.22,-0.017294177459961285,-0.010178925593464075,-0.006570863216677422,True,True,False,0.1426076055697791,-0.0119518595603428,-0.0197430192286894,review-prior only; replace with local hydrogeology before engineering use
Ludhiana,IN,alluvial/basin-fill depletion,0.08,0.14,0.22,-0.018677532472066972,-0.011314040774037665,-0.007407809206730634,True,True,False,0.15994912085618376,-0.0095673808211444,-0.0172762080106527,review-prior only; replace with local hydrogeology before engineering use
