relative_path,bytes,sha256
data/ab_followup_engineering_profile_r37.csv,4037,e701c10fb60ce8c5e7769b34bcdd94e45e2eb772c8bc04f0f2a3ba96ca663e9e
data/aquifer_class_sy_priors_r39.csv,1160,3440ea727c45fd5823364c37d4115e4fa3e0683e074173cf07d52729c34710c2
data/aquifer_class_sy_summary_r39.json,1130,5d13ba0374a0734b5f33d752a4000bb046841100321061e3573ebfb1ed39ced9
data/city_aquifer_class_sy_results_r39.csv,150177,c9c8a242ee42217934b339dd8d7d166aecee0e055d0d45e274f85313efd109b9
data/city_inputs.csv,104483,32dcc6b4bc3ef222eea264b7f9a7648b0ea05241155eae4e843b77b4cb0ac337
data/city_results_v2.csv,77442,4f90811232b4009f9a63d9e5afb4a2b3d65261cae09f4f4ced32e7354c137e62
data/engineering_susceptibility_enrichment_r37.csv,1771,496e6cf11b16d21bc44d56af5b3d1415f65fe2094033eba49b58b9648fed2764
data/evidence_tier_cards_r39.csv,4013,28379502aea995038e65f55c0b10ac001822d00d27729c7543ac938e1f08b95a
data/evidence_tier_cards_r39.md,3549,988b1ef8cb972567be39dac5ee38848df76a66f0d0eca6499933bac218b8f9ea
data/external_collaborator_role_matrix_r37.csv,912,3819eb24b5c51396f4bf80c0cc5f5c5496d33df1d6e818ced29053f7457a97b6
data/gfz_gravis_city_trends_r37.csv,134213,90fc0bc8a85407e8ef036b818901130d49e391608305b4b12378619b2a5f614b
data/gfz_gravis_stress_summary_r37.csv,410,ffd0ba974e7072fcac54b517ccca23f3133c1423fdb23bfa9f4a38e923f5ce3f
data/independence_scale_counts_r33.csv,1293,fd667fcf77210ac5ad0de4e5a4bca20de1a47be915aa2b7b30c6f20cf623fa38
data/jpl_cri_article_status_r39.csv,1387,e66779993c414c7b75eab02fba1fe57bf6a34dbf5825a0f3f6a818761715bdb6
data/jpl_cri_article_status_r39.json,1529,33b5729d14a07b0ce38984d1045ef87ddc6a28293d6f18be9eee3bcac519e409
data/material_unit_aquifer_class_phase_r39.csv,1881,f1280ea7d2e6d8a4c6c77074b17a522456524873bf3af88c169745e5898d7142
data/material_unit_gfz_gravis_stress_test_r37.csv,3664,6de4b82bb5bfac462ef032d80deab107abbc4c6cd1f50570303828f2571d1730
data/preimplementation_policy_protocol_r37.csv,2055,e8a5fbd9de8588ee151ea7ee5f5ea2434befff3d8ae1f9848bf5a6c741494c18
data/product_support_summary_r33.csv,487,e708529f90636edd4860da2059e7ff7592674ba343f8e7493172f238802eb831
data/product_support_table_r33.csv,2556,bcb1ff4cbb16eef0199d901c6d44edfbc24c0a884b65fd3232b6153a2af8021f
data/regional_evidence_scorecard_r37.csv,4014,64f48017496834d7d81957891efcfb9dde2d5c156a3305cc0c88618a23827aef
data/static_observed_triage_tier_change_r31.csv,171911,0b0691b7ea3050ef1301cd2fcfb20e82e5ece29c15fe76757ef9311a0a66d294
data/three_product_city_consensus_r37.csv,161646,494d9f58866eef70018fd7c4faddc7d6f815cad4697d271ae17fe93152248cb8
data/zero_aware_fdr_city_results_r27.csv,58518,be85719f3c832762fe4754d5cce675c77d56790e4d7a2690afa76ed0a91720bf
DATASET_CITATION.txt,91,6a8fc3e554189c1e820683ecf45c6b6331b45843e2787189d6ae3983010f8e5c
figures/Fig1_mechanism.pdf,62642,d22d5a923836acbfed8f0168fd89b99b337ef666f928514f3ccca7f11b565f8f
figures/Fig1_mechanism.png,375254,41d615fb0ffc0d0dd7a5e4113217e84953ea751017a4d76463d328a3a5e09b62
figures/Fig1_mechanism.svg,24024,1a5f36b08936bcb04fac7668b56ed2c2d115f0727fe40fe0615edb6a754d35df
figures/Fig2_global_signresolved.pdf,351327,a5295aa54a0609d7363d9a8afbc1d6477c605d90ac579a66b24c310387df0c89
figures/Fig2_global_signresolved.png,672820,e89893859877b24a29c8c409680457306e930c67338ee03bda4e795cc86fd5a4
figures/Fig2_global_signresolved.svg,1048746,685da7cfc444b2334cb36da92e62e8d5876051be51237e73a34e6e0ff132e824
figures/Fig3_regional.pdf,3432287,57af0df466af48a16ee700a4ba4adcee7e6d5b7bc690387fc5fda1774ea7bc4c
figures/Fig3_regional.png,781054,51ad3804277a7c06a3909511b8f2ec524728ff8dc62bff674b7c7bf18d79b82f
figures/Fig3_regional.svg,9515467,51021bfa2a1fb75fb0c57f16c36f6f467efa8916e338711fc6ec3ce6f6601604
figures/Fig4_evidence_tier_cards_article.pdf,51336,73243fa2f36ebfdbeeea0b227476dee06d82f5c9f4d8f1e8161e1b01a0e9dcb0
figures/Fig4_evidence_tier_cards_article.png,729278,2fff93a5561ba2d8fd04ec1e9fa9986b8d1a41a5ff8bef9fe5b2039a8785c78f
figures/Fig4_evidence_tier_cards_article.svg,19837,24496c2ea78fb238dc1463d5c1bb31fde0a9b24685545bd96e5d33bcd1607745
figures/Fig4_timeseries.pdf,90737,84953399a184b26b8f26c815ffc3192a250e6e2cc0a852f86350613330c015f9
figures/Fig4_timeseries.png,879379,542d0df6cd96b51685fd764100483f17af100e51a7bf0a7bbd5fae36e5ee8175
figures/Fig4_timeseries.svg,221014,131a88dad0ca664318f626cf951cb37cb4991f64d088572470ad19edfcbbdc59
figures/Fig5_aquifer_class_phase_article.pdf,55248,046516336c336497b262d6848f96ae0224b2b8478cfb32c39a871c44a9e66bce
figures/Fig5_aquifer_class_phase_article.png,518848,1b96026eb92a8c417af4d0e85c77e7967a739c3ce7dc76fc43d630408148c615
figures/Fig5_aquifer_class_phase_article.svg,36735,59999949329c5e6237d3fa5bb968745d84410a701b51339e211536190932329c
figures/Fig6_evidence_boundary.pdf,64012,362d7fd1f601784bda52180d2681bf08ca8a45c64867d91a8ad3d652deadb0c2
figures/Fig6_evidence_boundary.png,611041,b8f45a060a90c82913472c1e30a1633ea289081883af22b38355a39f3ccc885b
figures/Fig6_evidence_boundary.svg,39767,a86a72ccc62933e6480f23e6e077741b24cdc1b93649337a512958f4bfa82cc3
README.md,1306,03a4ea39b0cbc8755eb2de5be1d8ec26981c289120c5d37bba97d4d5563348d6
scripts/r24_jpl_cri_and_local_groundwater_evidence.py,34111,300ac1fbac99d357920244035737e072eb93d12cd77efadb85029f7e32bf2684
scripts/r28_specific_yield_sensitivity.py,14073,d06d98e109d27c2fc9ce9393097692251efcd26ad9d84a6d35b31436df524bc7
scripts/r37_third_product_engineering_policy_protocol.py,42415,3a9e830e86d7313842fcef5a5211043161781329f9f47e453e05ca714bf5983d
scripts/r39_article_dataset_release.py,30288,3712cb38c6aee7cba2d12bd13ed5b313cb5a217c07953fce359b4048a57501b9
scripts/zhu2017.py,4069,6f0e4c1ce025455077e6efb2c2752d62b97d22841b06f5f48c26ef9eaca27d72
zenodo.json,547,f20de5cce86272220e9c93558a8bd95b19a8bd49902a5b110c628fd8b3ccbc17
